Frame No,Marker No,Top left,,Top Right,,Bottom Right,,Bottm Left,,Top left,,Top Right,,Bottom Right,,Bottm Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
8,3,398.528,440.585,444.255,439.759,446.656,474.37,401.22,473.834,0.31135,0.3880763889,0.3470742188,0.3892236111,0.34895,0.3411527778,0.313453125,0.3418972222
8,4,927.111,422.758,965.43,420.493,962.717,452.46,924.982,455.541,0.7243054688,0.4128361111,0.7542421875,0.4159819444,0.7521226563,0.3715833333,0.7226421875,0.3673041667
9,1,388.252,171.207,434.504,167.629,433.788,203.995,387.45,207.596,0.303321875,0.7622125,0.33945625,0.7671819444,0.338896875,0.7166736111,0.3026953125,0.7116722222
9,2,929.335,168.137,967.608,171.562,969.164,204.842,930.257,202.196,0.7260429688,0.7664763889,0.75594375,0.7617194444,0.757159375,0.7154972222,0.7267632813,0.7191722222
9,3,398.509,447.455,444.203,447.698,446.744,481.33,401.327,480.997,0.3113351563,0.3785347222,0.3470335938,0.3781972222,0.34901875,0.3314861111,0.3135367188,0.3319486111
9,4,927.185,430.362,965.093,428.197,962.661,459.56,924.727,463.192,0.7243632813,0.402275,0.7539789063,0.4052819444,0.7520789063,0.3617222222,0.7224429688,0.3566777778
10,1,389.162,176.631,435.289,173.767,434.853,209.898,388.627,213.031,0.3040328125,0.7546791667,0.3400695313,0.7586569444,0.3397289063,0.708475,0.3036148438,0.7041236111
10,2,929.573,174.046,968.066,177.217,969.735,210.52,931.302,208.085,0.7262289063,0.7582694444,0.7563015625,0.7538652778,0.7576054688,0.7076111111,0.7275796875,0.7109930556
10,3,399.5,451.96,445.267,452.001,447.756,486.717,402.345,484.944,0.312109375,0.3722777778,0.3478648438,0.3722208333,0.349809375,0.3240041667,0.3143320313,0.3264666667
11,1,389.46,179.196,436.63,175.624,435.674,211.834,389.756,215.1,0.304265625,0.7511166667,0.3411171875,0.7560777778,0.3403703125,0.7057861111,0.304496875,0.70125
11,2,930.48,176.682,969.225,179.654,970.353,212.476,932.022,210.357,0.7269375,0.7546083333,0.7572070313,0.7504805556,0.7580882813,0.7048944444,0.7281421875,0.7078375
11,3,400.133,452.999,445.721,452.957,448.127,487.315,403.146,486.388,0.3126039063,0.3708347222,0.3482195313,0.3708930556,0.3500992188,0.3231736111,0.3149578125,0.3244611111
11,4,928.276,436.348,966.326,434.083,963.641,465.044,926.096,468.634,0.725215625,0.3939611111,0.7549421875,0.3971069444,0.7528445313,0.3541055556,0.7235125,0.3491194444
12,1,390,177.895,436.266,174.533,436.011,210.604,390,213.287,0.3046875,0.7529236111,0.3408328125,0.7575930556,0.3406335938,0.7074944444,0.3046875,0.7037680556
12,2,930.632,175.459,969.586,179.026,971.111,211.621,932.448,209.586,0.72705625,0.7563069444,0.7574890625,0.7513527778,0.7586804688,0.7060819444,0.728475,0.7089083333
12,3,400.137,450.835,445.711,451.083,448.201,485.274,403.163,484.375,0.3126070313,0.3738402778,0.3482117188,0.3734958333,0.3501570313,0.3260083333,0.3149710938,0.3272569444
13,1,389.202,175.546,436.091,171.447,435.809,207.556,388.928,211.03,0.3040640625,0.7561861111,0.3406960938,0.7618791667,0.3404757813,0.7117277778,0.30385,0.7069027778
13,2,930.782,173.024,969.588,176.378,971.093,209.243,932.478,206.781,0.7271734375,0.7596888889,0.757490625,0.7550305556,0.7586664063,0.7093847222,0.7284984375,0.7128041667
13,3,399.433,448,444.971,448,447.689,482.397,402.687,481.804,0.3120570313,0.3777777778,0.3476335938,0.3777777778,0.3497570313,0.3300041667,0.3145992188,0.3308277778
14,1,389.243,173.358,436,169.519,434.654,205.841,388.53,209.121,0.3040960938,0.759225,0.340625,0.7645569444,0.3395734375,0.7141097222,0.3035390625,0.7095541667
14,2,930.313,171.055,968.959,174.653,970.723,207.394,932.121,205.26,0.7268070313,0.7624236111,0.7569992188,0.7574263889,0.7583773438,0.7119527778,0.7282195313,0.7149166667
14,3,398.331,447.084,444.207,446.962,447.157,481.088,402.176,480.952,0.3111960938,0.37905,0.3470367188,0.3792194444,0.3493414063,0.3318222222,0.3142,0.3320111111
15,1,389.227,173.34,436.05,169.472,434.658,205.905,388.023,209.175,0.3040835938,0.75925,0.3406640625,0.7646222222,0.3395765625,0.7140208333,0.3031429688,0.7094791667
15,2,930.222,171.146,969.22,174.591,970.327,207.276,932.101,205.31,0.7267359375,0.7622972222,0.757203125,0.7575125,0.7580679688,0.7121166667,0.7282039063,0.7148472222
15,3,398.54,447,444.49,447,447.263,482.227,401.814,480.8,0.311359375,0.3791666667,0.3472578125,0.3791666667,0.3494242188,0.3302402778,0.3139171875,0.3322222222
15,4,928.116,432.161,966.068,429.167,962.879,460.981,925.193,463.826,0.725090625,0.3997763889,0.754740625,0.4039347222,0.7522492188,0.3597486111,0.7228070313,0.3557972222
16,1,389,174.18,435.819,170.324,436.025,206.723,389,209.623,0.30390625,0.7580833333,0.3404835938,0.7634388889,0.3406445313,0.7128847222,0.30390625,0.7088569444
16,2,930.445,172.14,969.517,175.273,971.175,208.512,932.251,206.074,0.7269101563,0.7609166667,0.7574351563,0.7565652778,0.7587304688,0.7104,0.7283210938,0.7137861111
16,3,399.11,448.137,444.772,447.946,447.666,483.211,402.536,481.707,0.3118046875,0.3775875,0.347478125,0.3778527778,0.3497390625,0.3288736111,0.31448125,0.3309625
17,1,389.888,174.79,437.058,171.103,436.611,207.386,390.049,210.55,0.3046,0.7572361111,0.3414515625,0.7623569444,0.3411023438,0.7119638889,0.3047257813,0.7075694444
17,3,399.921,448.646,445.746,449.16,448.472,483.082,403.467,482.957,0.3124382813,0.3768805556,0.3482390625,0.3761666667,0.35036875,0.3290527778,0.3152085938,0.3292263889
17,4,928.523,433.258,967.21,431.644,964.189,463.103,927.081,465.665,0.7254085938,0.3982527778,0.7556328125,0.4004944444,0.7532726563,0.3568013889,0.7242820313,0.3532430556
18,1,391,174.305,438.203,171.069,437.9,207.579,391,210.078,0.30546875,0.7579097222,0.3423460938,0.7624041667,0.342109375,0.7116958333,0.30546875,0.708225
18,2,933.305,173.67,971.707,176.982,972.817,210.194,934.347,207.576,0.7291445313,0.7587916667,0.7591460938,0.7541916667,0.7600132813,0.7080638889,0.7299585938,0.7117
18,3,400.541,448.144,446.591,447.936,448.915,483.247,403.371,481.817,0.3129226563,0.3775777778,0.3488992188,0.3778666667,0.3507148438,0.3288236111,0.3151335938,0.3308097222
18,4,929.318,434.012,967.526,431.449,965.013,463.076,927.497,465.855,0.7260296875,0.3972055556,0.7558796875,0.4007652778,0.7539164063,0.3568388889,0.7246070313,0.3529791667
19,1,391.208,173.45,437.996,170.38,437.056,206.735,390.91,209.382,0.30563125,0.7590972222,0.342184375,0.7633611111,0.34145,0.7128680556,0.3053984375,0.7091916667
19,2,932.696,173.56,971.666,176.984,972.419,210.079,934.101,207.194,0.72866875,0.7589444444,0.7591140625,0.7541888889,0.7597023438,0.7082236111,0.7297664063,0.7122305556
19,3,399.86,447.158,445.584,446.92,448.277,482.266,402.639,480.811,0.312390625,0.3789472222,0.3481125,0.3792777778,0.3502164063,0.3301861111,0.3145617188,0.3322069444
19,4,928.797,433.35,967.024,430.985,963.976,462.666,926.365,465.703,0.7256226563,0.398125,0.7554875,0.4014097222,0.75310625,0.3574083333,0.7237226563,0.3531902778
20,1,390.496,172.239,437.199,168.571,436.897,204.968,389.795,207.485,0.305075,0.7607791667,0.3415617188,0.7658736111,0.3413257813,0.7153222222,0.3045273438,0.7118263889
20,2,932.056,172.505,970.638,175.842,972.594,209.092,933.28,206.098,0.72816875,0.7604097222,0.7583109375,0.755775,0.7598390625,0.7095944444,0.729125,0.7137527778
20,3,399.377,445.153,444.813,444.928,447.449,479.991,401.86,478.974,0.3120132813,0.3817319444,0.3475101563,0.3820444444,0.3495695313,0.3333458333,0.313953125,0.3347583333
20,4,930.248,431.874,966.404,429.876,963.551,461.322,924.684,464.427,0.72675625,0.400175,0.755003125,0.40295,0.7527742188,0.359275,0.722409375,0.3549625
21,1,390.548,170.439,437.208,167.11,436.893,203.098,389.79,206.355,0.305115625,0.7632791667,0.34156875,0.7679027778,0.3413226563,0.7179194444,0.3045234375,0.7133958333
21,2,932.131,171.371,970.767,174.969,972.43,207.929,933.38,205.133,0.7282273438,0.7619847222,0.7584117188,0.7569875,0.7597109375,0.7112097222,0.729203125,0.7150930556
21,3,399.124,444.101,444.818,444.073,447.56,478.163,402.25,477.917,0.311815625,0.3831930556,0.3475140625,0.3832319444,0.34965625,0.3358847222,0.3142578125,0.3362263889
21,4,928.494,431.07,966.423,428.636,963.456,460.318,924.979,463.416,0.7253859375,0.4012916667,0.7550179688,0.4046722222,0.7527,0.3606694444,0.7226398438,0.3563666667
22,1,391,168.927,437.963,165.659,436.8,201.88,391,204.487,0.30546875,0.7653791667,0.3421585938,0.7699180556,0.34125,0.7196111111,0.30546875,0.7159902778
22,2,932.566,169.943,971.112,173.493,972.396,206.47,933.287,203.686,0.7285671875,0.7639680556,0.75868125,0.7590375,0.759684375,0.7132361111,0.7291304688,0.7171027778
22,3,399.698,442.913,444.954,443.044,447.826,476.914,402.528,477.046,0.3122640625,0.3848430556,0.3476203125,0.3846611111,0.3498640625,0.3376194444,0.314475,0.3374361111
22,4,928.721,429.281,966.623,427.316,963.593,458.679,926.155,461.576,0.7255632813,0.4037763889,0.7551742188,0.4065055556,0.7528070313,0.3629458333,0.7235585938,0.3589222222
23,1,390.655,168.305,437.183,164.856,436.751,200.947,389.765,204.044,0.3051992188,0.7662430556,0.3415492188,0.7710333333,0.3412117188,0.7209069444,0.3045039063,0.7166055556
23,2,931.615,168.639,970.586,172.394,971.679,205.496,933.482,202.489,0.7278242188,0.7657791667,0.7582703125,0.7605638889,0.7591242188,0.7145888889,0.7292828125,0.7187652778
23,4,928.172,428.254,965.776,426.275,963.534,457.635,925.679,460.534,0.725134375,0.4052027778,0.7545125,0.4079513889,0.7527609375,0.3643958333,0.7231867188,0.3603694444
24,1,389,166.496,436,163.2,436,199.194,389,202.276,0.30390625,0.7687555556,0.340625,0.7733333333,0.340625,0.7233416667,0.30390625,0.7190611111
24,2,931.336,166.972,969.721,170.655,970.542,203.456,932.212,200.499,0.72760625,0.7680944444,0.7575945313,0.7629791667,0.7582359375,0.7174222222,0.728290625,0.7215291667
24,3,397.677,438.913,443.36,439.045,446.198,473,400.943,473,0.3106851563,0.3903986111,0.346375,0.3902152778,0.3485921875,0.3430555556,0.3132367188,0.3430555556
24,4,926.58,426.012,964.662,423.706,962.251,455.011,924.208,457.658,0.723890625,0.4083166667,0.7536421875,0.4115194444,0.7517585938,0.3680402778,0.7220375,0.3643638889
25,1,388,162.217,435.142,158.816,434.685,194.645,388,197.812,0.303125,0.7746986111,0.3399546875,0.7794222222,0.3395976563,0.7296597222,0.303125,0.7252611111
25,2,929.67,162.568,968.803,166.584,969.559,199.378,931.31,196.01,0.7263046875,0.7742111111,0.7568773438,0.7686333333,0.7574679688,0.7230861111,0.7275859375,0.7277638889
25,3,396.702,433.71,441.823,434.072,444.79,468.088,399.322,467.598,0.3099234375,0.397625,0.3451742188,0.3971222222,0.3474921875,0.3498777778,0.3119703125,0.3505583333
25,4,925.684,420.972,963.599,419.1,961.23,449.861,923.166,452.764,0.723190625,0.4153166667,0.7528117188,0.4179166667,0.7509609375,0.3751930556,0.7212234375,0.3711611111
26,1,387.33,156.711,433.449,153.143,433.035,189.241,386.354,191.668,0.3026015625,0.7823458333,0.3386320313,0.7873013889,0.3383085938,0.7371652778,0.3018390625,0.7337944444
26,2,928.84,157.852,967.849,160.896,968.344,193.815,929.85,190.737,0.72565625,0.7807611111,0.7561320313,0.7765333333,0.75651875,0.7308125,0.7264453125,0.7350875
26,3,394.898,428.764,440.603,428.978,443.183,463.083,398.026,462.774,0.3085140625,0.4044944444,0.3442210938,0.4041972222,0.3462367188,0.3568291667,0.3109578125,0.3572583333
26,4,924.466,415.791,962.585,413.901,959.848,445.041,922.168,448.199,0.7222390625,0.4225125,0.7520195313,0.4251375,0.74988125,0.3818875,0.72044375,0.3775013889
27,1,386.249,153.553,432.291,149.635,431.853,185.859,385.316,189.093,0.3017570313,0.7867319444,0.3377273438,0.7921736111,0.3373851563,0.7418625,0.301028125,0.7373708333
27,2,928.011,154.143,966.632,158.297,968.288,191.109,929.301,187.779,0.7250085938,0.7859125,0.75518125,0.7801430556,0.756475,0.7345708333,0.7260164063,0.7391958333
27,3,394.121,426.716,439.623,426.937,442.728,461.037,397.273,460.917,0.3079070313,0.4073388889,0.3434554688,0.4070319444,0.34588125,0.3596708333,0.3103695313,0.3598375
27,4,923.926,413.761,961.955,411.934,959.582,443.067,921.41,446.142,0.7218171875,0.4253319444,0.7515273438,0.4278694444,0.7496734375,0.3846291667,0.7198515625,0.3803583333
28,1,385.171,152.047,432,148.287,432,184.464,384.833,187.567,0.3009148438,0.7888236111,0.3375,0.7940458333,0.3375,0.7438,0.3006507813,0.7394902778
28,2,927.455,152.68,966.531,156.596,967.563,189.523,929.098,186.392,0.7245742188,0.7879444444,0.7551023438,0.7825055556,0.7559085938,0.7367736111,0.7258578125,0.7411222222
28,3,393.942,424.976,439.687,425.11,442.306,459.249,397.01,458.879,0.3077671875,0.4097555556,0.3435054688,0.4095694444,0.3455515625,0.3621541667,0.3101640625,0.3626680556
28,4,924.077,411.722,961.884,410.333,959.546,441.601,921.477,444.555,0.7219351563,0.4281638889,0.751471875,0.4300930556,0.7496453125,0.3866652778,0.7199039063,0.3825625
29,1,385.193,151.06,432.048,147.44,431.894,183.532,384.602,186.901,0.3009320313,0.7901944444,0.3375375,0.7952222222,0.3374171875,0.7450944444,0.3004703125,0.7404152778
29,2,927.437,151.594,966.44,155.518,967.245,188.5,928.693,185.298,0.7245601563,0.7894527778,0.75503125,0.7840027778,0.7556601563,0.7381944444,0.7255414063,0.7426416667
29,3,393.726,424.857,439.599,425.145,442.015,459.466,396.821,458.829,0.3075984375,0.4099208333,0.3434367188,0.4095208333,0.3453242188,0.3618527778,0.3100164063,0.3627375
29,4,923.601,411.414,961.777,410.264,959.537,441.598,921.405,444.377,0.7215632813,0.4285916667,0.7513882813,0.4301888889,0.7496382813,0.3866694444,0.7198476563,0.3828097222
30,1,385.217,152.42,431.892,148.613,431.26,184.871,384.516,188.038,0.3009507813,0.7883055556,0.337415625,0.7935930556,0.336921875,0.7432347222,0.300403125,0.7388361111
30,2,927.562,153.04,966.046,157.239,967.271,190.39,928.181,186.79,0.7246578125,0.7874444444,0.7547234375,0.7816125,0.7556804688,0.7355694444,0.7251414063,0.7405694444
30,3,393.097,426.838,439.246,427.078,441.349,461.476,396.428,460.72,0.3071070313,0.4071694444,0.3431609375,0.4068361111,0.3448039063,0.3590611111,0.309709375,0.3601111111
30,4,923.306,413.447,961.253,412.019,958.855,443.763,920.596,446.273,0.7213328125,0.4257680556,0.7509789063,0.4277513889,0.7491054688,0.3836625,0.719215625,0.3801763889
31,1,385.249,153.356,432.13,149.965,431.099,186.214,384.458,189.218,0.3009757813,0.7870055556,0.3376015625,0.7917152778,0.3367960938,0.7413694444,0.3003578125,0.7371972222
31,2,927.485,154.903,966.382,158.888,967.184,191.665,928.19,188.607,0.7245976563,0.7848569444,0.7549859375,0.7793222222,0.7556125,0.7337986111,0.7251484375,0.7380458333
31,3,393.045,426.916,438.894,427.043,441.372,461.466,396.131,460.816,0.3070664063,0.4070611111,0.3428859375,0.4068847222,0.344821875,0.359075,0.3094773438,0.3599777778
31,4,923.097,414.638,961.23,412.885,958.501,444.501,920.3,447.331,0.7211695313,0.4241138889,0.7509609375,0.4265486111,0.7488289063,0.3826375,0.718984375,0.3787069444
32,1,385.296,152.38,432.106,149.008,431.292,184.912,384.307,188.351,0.3010125,0.7883611111,0.3375828125,0.7930444444,0.336946875,0.7431777778,0.3002398438,0.7384013889
32,2,927.532,154.133,966.08,158.191,967.303,191.148,928.185,187.782,0.724634375,0.7859263889,0.75475,0.7802902778,0.7557054688,0.7345166667,0.7251445313,0.7391916667
32,3,392.845,426,438.719,426,440.767,460.991,395.767,459.911,0.3069101563,0.4083333333,0.3427492188,0.4083333333,0.3443492188,0.3597347222,0.3091929688,0.3612347222
32,4,922.645,414.151,960.574,411.694,958.595,443.496,920.13,446.447,0.7208164063,0.4247902778,0.7504484375,0.4282027778,0.7489023438,0.3840333333,0.7188515625,0.3799347222
33,1,384.147,152.417,431.031,148.942,429.772,184.826,383.652,188.427,0.3001148438,0.7883097222,0.3367429688,0.7931361111,0.335759375,0.7432972222,0.299728125,0.7382958333
33,2,926.695,154.195,965.586,158.084,966.193,191.119,927.517,187.821,0.7239804688,0.7858402778,0.7543640625,0.7804388889,0.7548382813,0.7345569444,0.7246226563,0.7391375
33,3,391.618,426.797,437.61,426.952,439.789,461.085,394.986,460.956,0.3059515625,0.4072263889,0.3418828125,0.4070111111,0.3435851563,0.3596041667,0.3085828125,0.3597833333
33,4,921.537,414.207,959.917,412.456,957.271,444.001,919.27,446.662,0.7199507813,0.4247125,0.7499351563,0.4271444444,0.7478679688,0.3833319444,0.7181796875,0.3796361111
34,1,383.15,153.196,430.092,149.451,428.67,185.803,382.66,188.828,0.2993359375,0.7872277778,0.336009375,0.7924291667,0.3348984375,0.7419402778,0.298953125,0.7377388889
34,2,925.773,154.703,964.482,158.727,965.23,191.347,926.092,188.48,0.7232601563,0.7851347222,0.7535015625,0.7795458333,0.7540859375,0.7342402778,0.723509375,0.7382222222
34,3,390.861,427,436.686,427,438.822,461.347,394.089,460.864,0.3053601563,0.4069444444,0.3411609375,0.4069444444,0.3428296875,0.3592402778,0.3078820313,0.3599111111
34,4,920.649,414.72,958.96,412.615,956.59,444.218,918.209,447.166,0.7192570313,0.424,0.7491875,0.4269236111,0.7473359375,0.3830305556,0.7173507813,0.3789361111
35,1,382.773,153.065,429.157,149.553,428.84,185.84,381.82,188.972,0.2990414063,0.7874097222,0.3352789063,0.7922875,0.33503125,0.7418888889,0.298296875,0.7375388889
35,2,924.718,154.601,963.698,158.349,964.585,191.136,926.361,188.401,0.7224359375,0.7852763889,0.7528890625,0.7800708333,0.7535820313,0.7345333333,0.7237195313,0.7383319444
35,3,390.677,426.913,436.655,427.046,438.762,461.31,393.929,460.855,0.3052164063,0.4070652778,0.3411367188,0.4068805556,0.3427828125,0.3592916667,0.3077570313,0.3599236111
35,4,920.43,414.392,958.714,412.579,956.131,444.132,918.107,446.87,0.7190859375,0.4244555556,0.7489953125,0.4269736111,0.7469773438,0.38315,0.7172710938,0.3793472222
36,1,382.628,154.455,429.009,150.616,428.265,186.543,381.734,190.032,0.298928125,0.7854791667,0.3351632813,0.7908111111,0.3345820313,0.7409125,0.2982296875,0.7360666667
36,2,924.994,155.585,963.743,159.664,964.472,192.537,925.819,189.183,0.7226515625,0.7839097222,0.7529242188,0.7782444444,0.75349375,0.7325875,0.7232960938,0.7372458333
36,3,390.814,428.753,436.148,428.986,438.832,463.168,393.503,462.911,0.3053234375,0.4045097222,0.340740625,0.4041861111,0.3428375,0.3567111111,0.3074242188,0.3570680556
36,4,920.388,416.52,958.52,414.535,956.003,446.182,917.789,448.789,0.719053125,0.4215,0.74884375,0.4242569444,0.7468773438,0.3803027778,0.7170226563,0.3766819444
37,1,383.107,156.513,429.286,153.032,428.873,189.308,381.808,192.096,0.2993023438,0.7826208333,0.3353796875,0.7874555556,0.3350570313,0.7370722222,0.2982875,0.7332
37,2,925.429,158.384,963.865,162.141,964.461,195.159,925.889,192.025,0.7229914063,0.7800222222,0.7530195313,0.7748041667,0.7534851563,0.7289458333,0.7233507813,0.7332986111
37,3,390.798,430.913,436.434,431.046,439.047,465.16,393.645,464.914,0.3053109375,0.4015097222,0.3409640625,0.401325,0.3430054688,0.3539444444,0.3075351563,0.3542861111
37,4,920.392,419.108,958.52,416.498,956.076,448.428,917.755,451.311,0.71905625,0.4179055556,0.74884375,0.4215305556,0.746934375,0.3771833333,0.7169960938,0.3731791667
38,1,383.106,157.495,430.202,154.189,429.901,190.405,382.953,193.326,0.2993015625,0.7812569444,0.3360953125,0.7858486111,0.3358601563,0.7355486111,0.2991820313,0.7314916667
38,2,925.885,159.492,963.939,163.236,965.319,196.322,926.055,193.27,0.7233476563,0.7784833333,0.7530773438,0.7732833333,0.7541554688,0.7273305556,0.7234804688,0.7315694444
38,3,391.358,431,436.743,431,439.796,465.932,394.349,464.697,0.3057484375,0.4013888889,0.3412054688,0.4013888889,0.343590625,0.3528722222,0.3080851563,0.3545875
38,4,920.932,419.311,959.16,417.023,956.382,448.742,918.284,451.349,0.719478125,0.4176236111,0.74934375,0.4208013889,0.7471734375,0.3767472222,0.717409375,0.3731263889
39,1,384.218,156.715,430.28,153.162,429.876,189.423,382.748,192.409,0.3001703125,0.7823402778,0.33615625,0.787275,0.335840625,0.7369125,0.299021875,0.7327652778
39,2,925.986,158.407,964.617,162.208,965.539,195.041,926.075,191.898,0.7234265625,0.7799902778,0.7536070313,0.7747111111,0.7543273438,0.7291097222,0.7234960938,0.733475
39,3,392.014,429.831,437.527,430.089,440.313,464.151,395.222,463.801,0.3062609375,0.4030125,0.3418179688,0.4026541667,0.3439945313,0.3553458333,0.3087671875,0.3558319444
39,4,921.367,417.331,959.73,415.816,957.04,446.985,919.294,449.802,0.7198179688,0.4203736111,0.7497890625,0.4224777778,0.7476875,0.3791875,0.7181984375,0.375275
40,1,384,155.449,431.138,152.019,430.401,187.79,384,191.133,0.3,0.7840986111,0.3368265625,0.7888625,0.3362507813,0.7391805556,0.3,0.7345375
40,2,926.251,156.682,964.783,160.687,966.425,193.65,927.445,190.376,0.7236335938,0.7823861111,0.7537367188,0.7768236111,0.7550195313,0.7310416667,0.7245664063,0.7355888889
