Frame No,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
8,4,917.618,416.62,957.316,414.933,955.655,446.621,915.427,448.296,0.7168890625,0.4213611111,0.747903125,0.4237041667,0.7466054688,0.3796930556,0.7151773438,0.3773666667
9,1,409,173.312,449.179,169.565,449.008,201.652,409,205.288,0.31953125,0.7592888889,0.3509210938,0.7644930556,0.3507875,0.7199277778,0.31953125,0.7148777778
9,2,916.577,159.319,957.867,162.045,959.315,194.636,918.165,192.672,0.7160757813,0.7787236111,0.7483335938,0.7749375,0.7494648438,0.7296722222,0.7173164063,0.7324
9,4,916.115,416.473,957.268,414.989,954.857,446.84,915.398,448.462,0.7157148438,0.4215652778,0.747865625,0.4236263889,0.7459820313,0.3793888889,0.7151546875,0.3771361111
10,1,408.664,173.942,448.828,169.86,449.823,202.322,409.145,205.531,0.31926875,0.7584138889,0.350646875,0.7640833333,0.3514242188,0.7189972222,0.3196445313,0.7145402778
10,2,916.719,159.882,957.899,162.717,959.327,195.597,918.141,192.856,0.7161867188,0.7779416667,0.7483585938,0.7740041667,0.7494742188,0.7283375,0.7172976563,0.7321444444
10,3,419.228,418.433,458.375,419.171,460.959,450.128,422.111,448.725,0.327521875,0.4188430556,0.3581054688,0.4178180556,0.3601242188,0.3748222222,0.3297742188,0.3767708333
11,1,410,174.405,450,170.446,450,202.834,410,206.354,0.3203125,0.7577708333,0.3515625,0.7632694444,0.3515625,0.7182861111,0.3203125,0.7133972222
11,2,917.257,160.344,958.652,163.51,959.445,196.004,918.5,193.736,0.7166070313,0.7773,0.748946875,0.7729027778,0.7495664063,0.7277722222,0.717578125,0.7309222222
11,3,420.188,418.564,459.557,419.799,461.794,450.799,422.567,449.692,0.328271875,0.4186611111,0.3590289063,0.4169458333,0.3607765625,0.3738902778,0.3301304688,0.3754277778
11,4,918.104,417.834,958.163,416.421,955.952,448.535,915.852,450.009,0.71726875,0.419675,0.7485648438,0.4216375,0.7468375,0.3770347222,0.715509375,0.3749875
12,1,411,174.985,451,171.015,451,203.762,411,206.75,0.32109375,0.7569652778,0.35234375,0.7624791667,0.35234375,0.7169972222,0.32109375,0.7128472222
12,3,420.785,419.119,459.989,420.341,462.874,451.307,423.58,449.924,0.3287382813,0.4178902778,0.3593664063,0.4161930556,0.3616203125,0.3731847222,0.330921875,0.3751055556
12,4,918.464,418.246,959.028,417.327,956.698,448.73,916.636,450.109,0.71755,0.4191027778,0.749240625,0.4203791667,0.7474203125,0.3767638889,0.716121875,0.3748486111
13,1,410.954,175.212,451.025,171.141,451.906,203.692,411.649,206.815,0.3210578125,0.75665,0.3523632813,0.7623041667,0.3530515625,0.7170944444,0.3216007813,0.7127569444
13,2,918.222,161.222,959.696,163.934,961.115,196.602,920.173,194.483,0.7173609375,0.7760805556,0.7497625,0.7723138889,0.7508710938,0.7269416667,0.7188851563,0.7298847222
13,3,421.317,419.08,460.55,420.366,463.208,451.315,424.137,449.892,0.3291539063,0.4179444444,0.3598046875,0.4161583333,0.36188125,0.3731736111,0.3313570313,0.37515
13,4,919.031,418.265,959.426,417.298,957.224,448.666,916.465,450.012,0.7179929688,0.4190763889,0.7495515625,0.4204194444,0.74783125,0.3768527778,0.7159882813,0.3749833333
14,1,411.197,174.813,451.019,170.925,451.902,203.546,411.238,206.594,0.3212476563,0.7572041667,0.3523585938,0.7626041667,0.3530484375,0.7172972222,0.3212796875,0.7130638889
14,3,421.148,418.919,460.665,419.186,462.639,450.673,423.829,449.699,0.329021875,0.4181680556,0.3598945313,0.4177972222,0.3614367188,0.3740652778,0.3311164063,0.3754180556
14,4,919.081,417.46,959.063,416.564,956.824,448.123,916.551,449.856,0.7180320313,0.4201944444,0.7492679688,0.4214388889,0.74751875,0.3776069444,0.7160554688,0.3752
15,1,410.876,174.216,451.012,170.474,450.988,202.863,411.056,205.807,0.320996875,0.7580333333,0.352353125,0.7632305556,0.352334375,0.7182458333,0.3211375,0.7141569444
15,2,918.44,160.54,959.263,163.485,960.848,195.54,919.226,194.144,0.71753125,0.7770277778,0.7494242188,0.7729375,0.7506625,0.7284166667,0.7181453125,0.7303555556
15,3,420.59,418.113,459.793,419.335,462.615,450.302,423.274,449.062,0.3285859375,0.4192875,0.3592132813,0.4175902778,0.3614179688,0.3745805556,0.3306828125,0.3763027778
15,4,918.269,417.237,958.257,416.224,956.767,447.277,916.498,449.445,0.7173976563,0.4205041667,0.7486382813,0.4219111111,0.7474742188,0.3787819444,0.7160140625,0.3757708333
16,1,411,173.78,451,170.231,451,202.594,411,205.663,0.32109375,0.7586388889,0.35234375,0.7635680556,0.35234375,0.7186194444,0.32109375,0.7143569444
16,2,917.737,160.616,958.852,162.93,960.454,195.762,919.501,193.593,0.7169820313,0.7769222222,0.749103125,0.7737083333,0.7503546875,0.7281083333,0.7183601563,0.7311208333
