Frame No,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
41,1,417.06,129.439,457.058,125.432,456.877,157.311,416.881,160.969,0.325828125,0.8202236111,0.3570765625,0.8257888889,0.3569351563,0.7815125,0.3256882813,0.7764319444
41,2,925.062,117.938,965.825,121.589,967.841,153.838,926.391,150.529,0.7227046875,0.8361972222,0.7545507813,0.8311263889,0.7561257813,0.7863361111,0.7237429688,0.7909319444
41,3,426.013,372.722,465.579,373.134,468.02,404.324,428.96,403.343,0.3328226563,0.4823305556,0.3637335938,0.4817583333,0.365640625,0.4384388889,0.335125,0.4398013889
41,4,925.135,373.123,965.499,373.065,963.422,404.77,923.312,405.395,0.7227617188,0.4817736111,0.7542960938,0.4818541667,0.7526734375,0.4378194444,0.7213375,0.4369513889
42,1,417,128.376,457.147,124.292,457.1,156.201,417,159.876,0.32578125,0.8217,0.3571460938,0.8273722222,0.357109375,0.7830541667,0.32578125,0.77795
42,2,925.212,116.695,966.532,120.337,968.186,152.685,927.38,149.464,0.722821875,0.8379236111,0.755103125,0.8328652778,0.7563953125,0.7879375,0.724515625,0.7924111111
42,3,426.303,371.568,465.74,372.096,468.526,403.173,429.095,402.75,0.3330492188,0.4839333333,0.363859375,0.4832,0.3660359375,0.4400375,0.3352304688,0.440625
42,4,925.546,372.207,965.924,372.031,963.574,403.845,923.515,404.362,0.7230828125,0.4830458333,0.754628125,0.4832902778,0.7527921875,0.4391041667,0.7214960938,0.4383861111
43,1,417.063,127.843,457.023,123.401,457.16,155.616,416.885,159.232,0.3258304688,0.8224402778,0.3570492188,0.8286097222,0.35715625,0.7838666667,0.3256914063,0.7788444444
43,2,925.37,115.973,966.596,119.564,968.077,151.894,927.338,148.696,0.7229453125,0.8389263889,0.755153125,0.8339388889,0.7563101563,0.7890361111,0.7244828125,0.7934777778
43,3,426.194,371,465.483,371,468.445,403.254,428.862,401.783,0.3329640625,0.4847222222,0.3636585938,0.4847222222,0.3659726563,0.439925,0.3350484375,0.4419680556
43,4,925.557,371.991,965.775,371.858,963.586,403.123,923.368,404.272,0.7230914063,0.4833458333,0.7545117188,0.4835305556,0.7528015625,0.4401069444,0.72138125,0.4385111111
44,1,417.007,127.992,456.89,123.552,457.049,155.64,416.298,159.396,0.3257867188,0.8222333333,0.3569453125,0.8284,0.3570695313,0.7838333333,0.3252328125,0.7786166667
44,2,925.455,116.142,965.808,119.495,967.858,151.933,926.39,148.66,0.7230117188,0.8386916667,0.7545375,0.8340347222,0.7561390625,0.7889819444,0.7237421875,0.7935277778
44,3,425.963,371.811,465.496,372.092,467.838,403.188,428.328,402.906,0.3327835938,0.4835958333,0.36366875,0.4832055556,0.3654984375,0.4400166667,0.33463125,0.4404083333
44,4,925.153,372.095,965.216,371.809,963.614,403.773,923.137,404.179,0.7227757813,0.4832013889,0.754075,0.4835986111,0.7528234375,0.4392041667,0.7212007813,0.4386402778
45,1,416,128.711,456,124.411,456,156.599,416,160.242,0.325,0.8212347222,0.35625,0.8272069444,0.35625,0.7825013889,0.325,0.7774416667
45,2,924.539,116.485,965.615,120.249,967.284,152.42,926.296,149.626,0.7222960938,0.8382152778,0.7543867188,0.8329875,0.755690625,0.7883055556,0.72366875,0.7921861111
45,3,425.316,372,464.869,372,467.482,404.255,427.935,402.786,0.332278125,0.4833333333,0.3631789063,0.4833333333,0.3652203125,0.4385347222,0.3343242188,0.440575
45,4,924.403,372.249,965.085,372.086,962.851,403.828,922.593,405.265,0.7221898438,0.4829875,0.7539726563,0.4832138889,0.7522273438,0.4391277778,0.7207757813,0.4371319444
46,1,415.458,128.932,456,124.397,456,156.554,415.382,160.58,0.3245765625,0.8209277778,0.35625,0.8272263889,0.35625,0.7825638889,0.3245171875,0.7769722222
46,2,924.001,116.735,965.009,120.297,966.749,152.846,925.714,149.321,0.7218757813,0.8378680556,0.7539132813,0.8329208333,0.7552726563,0.7877138889,0.7232140625,0.7926097222
46,3,424.652,372.539,464.547,373.225,466.582,404.28,427.419,403.852,0.331759375,0.4825847222,0.3629273438,0.4816319444,0.3645171875,0.4385,0.3339210938,0.4390944444
46,4,924.156,373.122,964.689,372.86,962.023,404.772,921.959,405.189,0.721996875,0.481775,0.7536632813,0.4821388889,0.7515804688,0.4378166667,0.7202804688,0.4372375
47,1,415,129.523,455.115,125.222,454.943,157.334,415,161.219,0.32421875,0.8201069444,0.3555585938,0.8260805556,0.3554242188,0.7814805556,0.32421875,0.7760847222
47,2,923.448,117.517,964.743,121.208,966.391,153.645,925.095,150.576,0.72144375,0.8367819444,0.7537054688,0.8316555556,0.7549929688,0.7866041667,0.7227304688,0.7908666667
47,3,424.041,372.98,463.497,373.076,466.241,405.398,426.64,404.42,0.3312820313,0.4819722222,0.3621070313,0.4818388889,0.3642507813,0.4369472222,0.3333125,0.4383055556
47,4,923.725,373.892,963.933,373.913,961.587,405.668,921.27,406.301,0.7216601563,0.4807055556,0.7530726563,0.4806763889,0.7512398438,0.4365722222,0.7197421875,0.4356930556
48,1,414.877,130.333,455,125.869,455,158.185,414.865,161.837,0.3241226563,0.8189819444,0.35546875,0.8251819444,0.35546875,0.7802986111,0.3241132813,0.7752263889
48,2,923.416,118.508,964.391,122.191,966.064,154.344,924.726,151.623,0.72141875,0.8354055556,0.7534304688,0.8302902778,0.7547375,0.7856333333,0.7224421875,0.7894125
48,3,423.548,373.719,463.552,374.548,465.541,405.922,426.402,404.733,0.330896875,0.4809458333,0.36215,0.4797944444,0.3637039063,0.4362194444,0.3331265625,0.4378708333
48,4,923.358,375.04,963.5,374.913,961.506,407,921.267,407,0.7213734375,0.4791111111,0.752734375,0.4792875,0.7511765625,0.4347222222,0.7197398438,0.4347222222
49,1,415.06,130.83,455.021,126.605,454.914,158.597,414.69,162.515,0.324265625,0.8182916667,0.3554851563,0.8241597222,0.3554015625,0.7797263889,0.3239765625,0.7742847222
49,2,923.577,119.393,964.379,122.928,966.051,155.191,924.449,152.382,0.7215445313,0.8341763889,0.7534210938,0.8292666667,0.7547273438,0.7844569444,0.7222257813,0.7883583333
49,3,423.683,374.82,463.444,375.09,465.724,406.499,426.316,405.449,0.3310023438,0.4794166667,0.362065625,0.4790416667,0.363846875,0.4354180556,0.333059375,0.4368763889
49,4,923.278,376.005,963.471,375.298,961.647,406.9,921.283,407.757,0.7213109375,0.4777708333,0.7527117188,0.4787527778,0.7512867188,0.4348611111,0.7197523438,0.4336708333
50,1,415.118,131.06,455.121,126.67,454.94,158.633,414.771,162.664,0.3243109375,0.8179722222,0.3555632813,0.8240694444,0.355421875,0.7796763889,0.3240398438,0.7740777778
50,2,923.445,119.728,964.839,123.337,966.297,155.661,925.447,152.48,0.7214414063,0.8337111111,0.7537804688,0.8286986111,0.7549195313,0.7838041667,0.7230054688,0.7882222222
50,3,423.757,374.816,463.388,375.099,465.593,406.515,426.333,405.764,0.3310601563,0.4794222222,0.362021875,0.4790291667,0.3637445313,0.4353958333,0.3330726563,0.4364388889
50,4,923.376,376.04,963.727,375.912,961.59,407.952,921.233,408.099,0.7213875,0.4777222222,0.7529117188,0.4779,0.7512421875,0.4334,0.7197132813,0.4331958333
51,1,413.987,131.315,454.506,126.945,454.172,158.939,414.074,162.893,0.3234273438,0.8176180556,0.3550828125,0.8236875,0.354821875,0.7792513889,0.3234953125,0.7737597222
51,2,923.648,120.001,964.512,123.553,966.231,155.886,924.679,152.824,0.7216,0.8333319444,0.753525,0.8283986111,0.7548679688,0.7834916667,0.7224054688,0.7877444444
51,3,423.284,375,462.676,375,465.108,407.278,425.68,406.106,0.330690625,0.4791666667,0.361465625,0.4791666667,0.363365625,0.4343361111,0.3325625,0.4359638889
51,4,922.827,376.365,963.219,375.956,960.911,407.844,920.945,408.353,0.7209585938,0.4772708333,0.7525148438,0.4778388889,0.7507117188,0.43355,0.7194882813,0.4328430556
52,1,413.998,131.44,454.157,127.314,453.837,159.267,413.446,163.144,0.3234359375,0.8174444444,0.3548101563,0.823175,0.3545601563,0.7787958333,0.3230046875,0.7734111111
52,2,922.901,120.418,963.716,123.663,965.378,156.39,924.317,152.83,0.7210164063,0.8327527778,0.752903125,0.8282458333,0.7542015625,0.7827916667,0.7221226563,0.7877361111
52,3,422.273,375.015,461.584,375.137,464.452,407.27,424.992,406.708,0.3299007813,0.4791458333,0.3606125,0.4789763889,0.362853125,0.4343472222,0.332025,0.4351277778
52,4,922.224,376.75,962.502,376.961,960.375,407.827,920.018,409.254,0.7204875,0.4767361111,0.7519546875,0.4764430556,0.7502929688,0.4335736111,0.7187640625,0.4315916667
53,1,413,131.478,453.17,127.391,453.256,159.461,413,163.158,0.32265625,0.8173916667,0.3540390625,0.8230680556,0.35410625,0.7785263889,0.32265625,0.7733916667
53,2,922.334,120.256,963.685,123.784,964.915,156.206,924.073,153.399,0.7205734375,0.8329777778,0.7528789063,0.8280777778,0.7538398438,0.7830472222,0.7219320313,0.7869458333
53,3,421.828,375,461.466,375,464.125,407.093,424.4,406.955,0.329553125,0.4791666667,0.3605203125,0.4791666667,0.3625976563,0.4345930556,0.3315625,0.4347847222
53,4,921.709,376.94,962.516,376.818,960.097,407.944,919.912,409.345,0.7200851563,0.4764722222,0.751965625,0.4766416667,0.7500757813,0.4334111111,0.71868125,0.4314652778
54,1,413,131.319,453.343,127.493,453.595,159.558,413,163.101,0.32265625,0.8176125,0.3541742188,0.8229263889,0.3543710938,0.7783916667,0.32265625,0.7734708333
54,2,923.085,120.323,963.741,123.835,965.328,156.184,923.908,153.116,0.7211601563,0.8328847222,0.7529226563,0.8280069444,0.7541625,0.7830777778,0.721803125,0.7873388889
54,3,422.244,375.143,461.97,376.034,464.315,407.09,424.99,406.954,0.329878125,0.4789680556,0.3609140625,0.4777305556,0.3627460938,0.4345972222,0.3320234375,0.4347861111
54,4,922.301,376.82,962.791,376.94,960.763,408.108,920.661,409.324,0.7205476563,0.4766388889,0.7521804688,0.4764722222,0.7505960938,0.4331833333,0.7192664063,0.4314944444
55,1,414,131.15,454.068,126.794,454.057,158.671,414,162.746,0.3234375,0.8178472222,0.354740625,0.8238972222,0.3547320313,0.7796236111,0.3234375,0.7739638889
55,2,923.571,120.306,964.787,123.563,966.403,155.996,925.247,153.096,0.7215398438,0.8329083333,0.7537398438,0.8283847222,0.7550023438,0.7833388889,0.7228492188,0.7873666667
55,3,423.213,375,462.835,375,465.438,407.054,425.712,405.682,0.3306351563,0.4791666667,0.3615898438,0.4791666667,0.3636234375,0.4346472222,0.3325875,0.4365527778
55,4,923.325,376.461,964.091,376.213,961.715,407.695,921.677,408.909,0.7213476563,0.4771375,0.7531960938,0.4774819444,0.7513398438,0.4337569444,0.7200601563,0.4320708333
56,1,415,130.275,455.392,125.828,455.485,157.834,415,161.777,0.32421875,0.8190625,0.355775,0.8252388889,0.3558476563,0.7807861111,0.32421875,0.7753097222
56,2,925.185,119.592,965.899,123.112,967.768,155.421,926.332,152.614,0.7228007813,0.8339,0.7546085938,0.8290111111,0.75606875,0.7841375,0.723696875,0.7880361111
56,3,424.271,374,463.841,374,466.569,406.151,426.783,404.688,0.3314617188,0.4805555556,0.3623757813,0.4805555556,0.3645070313,0.4359013889,0.3334242188,0.4379333333
56,4,924.461,375.818,965.132,376.095,962.851,407.837,922.758,408.068,0.7222351563,0.4780305556,0.754009375,0.4776458333,0.7522273438,0.4335597222,0.7209046875,0.4332388889
57,1,416,129.571,456.39,125.511,456.272,157.579,416,161.288,0.325,0.8200402778,0.3565546875,0.8256791667,0.3564625,0.7811402778,0.325,0.7759888889
57,2,925.87,119.349,967.271,122.831,968.667,155.454,927.644,152.167,0.7233359375,0.8342375,0.7556804688,0.8294013889,0.7567710938,0.7840916667,0.724721875,0.7886569444
57,3,425.273,373.701,465.028,374.216,467.416,405.692,427.62,404.71,0.3322445313,0.4809708333,0.363303125,0.4802555556,0.36516875,0.4365388889,0.334078125,0.4379027778
57,4,925.384,375.818,966.146,376.095,963.705,407.842,923.846,408.066,0.72295625,0.4780305556,0.7548015625,0.4776458333,0.7528945313,0.4335527778,0.7217546875,0.4332416667
58,1,417.06,129.489,457.406,125.44,457.631,157.516,416.879,161.244,0.325828125,0.8201541667,0.3573484375,0.8257777778,0.3575242188,0.7812277778,0.3256867188,0.77605
58,2,926.965,119.313,967.966,123.104,969.762,155.458,928.338,152.477,0.7241914063,0.8342875,0.7562234375,0.8290222222,0.7576265625,0.7840861111,0.7252640625,0.7882263889
58,3,425.81,373.903,465.555,374.048,467.957,405.94,428.282,404.686,0.3326640625,0.4806902778,0.3637148438,0.4804888889,0.3655914063,0.4361944444,0.3345953125,0.4379361111
58,4,926.288,376,966.768,376,964.725,407.863,924.311,408.144,0.7236625,0.4777777778,0.7552875,0.4777777778,0.7536914063,0.4335236111,0.7221179688,0.4331333333
59,1,417,129.565,458,125.585,458,157.714,417,161.25,0.32578125,0.8200486111,0.3578125,0.8255763889,0.3578125,0.7809527778,0.32578125,0.7760416667
59,2,927.461,119.359,968.737,123.082,970.382,155.463,929.011,152.419,0.7245789063,0.8342236111,0.7568257813,0.8290527778,0.7581109375,0.7840791667,0.7257898438,0.7883069444
59,3,426.126,373.734,465.907,374.794,468.495,406.036,428.632,404.595,0.3329109375,0.480925,0.3639898438,0.4794527778,0.3660117188,0.4360611111,0.33486875,0.4380625
59,4,926.708,376,967.19,376,965.005,407.864,924.781,408.137,0.723990625,0.4777777778,0.7556171875,0.4777777778,0.7539101563,0.4335222222,0.7224851563,0.4331430556
60,1,417,129.868,458,125.439,458,157.533,417,161.39,0.32578125,0.8196277778,0.3578125,0.8257791667,0.3578125,0.7812041667,0.32578125,0.7758472222
60,2,927.844,119.379,968.609,122.741,970.243,155.323,928.646,152.006,0.724878125,0.8341958333,0.7567257813,0.8295263889,0.7580023438,0.7842736111,0.7255046875,0.7888805556
60,3,426.401,374.205,465.839,374.556,468.279,405.96,428.47,404.885,0.3331257813,0.4802708333,0.3639367188,0.4797833333,0.3658429688,0.4361666667,0.3347421875,0.4376597222
60,4,927.101,376.125,967.308,375.725,965.147,407.953,925.073,408.1,0.7242976563,0.4776041667,0.755709375,0.4781597222,0.7540210938,0.4333986111,0.7227132813,0.4331944444
61,1,417.012,130.072,457.325,125.647,457.722,157.739,416.989,161.67,0.325790625,0.8193444444,0.3572851563,0.8254902778,0.3575953125,0.7809180556,0.3257726563,0.7754583333
61,2,927.369,119.147,968.013,122.68,969.982,155.229,928.688,152.337,0.7245070313,0.8345180556,0.7562601563,0.8296111111,0.7577984375,0.7844041667,0.7255375,0.7884208333
61,3,425.88,374.704,465.654,375.207,467.907,406.272,428.32,405.666,0.33271875,0.4795777778,0.3637921875,0.4788791667,0.3655523438,0.4357333333,0.334625,0.436575
61,4,926.477,376.263,966.754,375.942,964.769,407.877,924.725,408.274,0.7238101563,0.4774125,0.7552765625,0.4778583333,0.7537257813,0.4335041667,0.7224414063,0.4329527778
62,1,416.417,130.725,456.799,126.383,456.713,158.687,416.221,162.186,0.3253257813,0.8184375,0.3568742188,0.8244680556,0.3568070313,0.7796013889,0.3251726563,0.7747416667
62,2,926.503,119.659,967.562,123.357,969.344,155.686,928.393,152.55,0.7238304688,0.8338069444,0.7559078125,0.8286708333,0.7573,0.7837694444,0.7253070313,0.788125
62,3,425.264,375,465.386,375,466.955,407.303,427.687,406.552,0.3322375,0.4791666667,0.3635828125,0.4791666667,0.3648085938,0.4343013889,0.3341304688,0.4353444444
62,4,925.959,376.617,966.644,376.611,963.794,408.481,924.013,409.109,0.7234054688,0.4769208333,0.755190625,0.4769291667,0.7529640625,0.4326652778,0.7218851563,0.4317930556
63,1,415.723,131.319,456.119,126.991,455.936,159.25,415.761,163.022,0.3247835938,0.8176125,0.3563429688,0.8236236111,0.3562,0.7788194444,0.3248132813,0.7735805556
63,2,925.817,120.332,966.815,123.707,968.414,156.141,927.293,153.195,0.7232945313,0.8328722222,0.7553242188,0.8281847222,0.7565734375,0.7831375,0.7244476563,0.7872291667
63,3,424.378,376.045,464.218,376.795,466.528,407.834,426.608,406.766,0.3315453125,0.4777152778,0.3626703125,0.4766736111,0.364475,0.4335638889,0.3332875,0.4350472222
63,4,925.177,377.04,965.465,376.913,963.609,408.956,923.067,409.097,0.7227945313,0.4763333333,0.7542695313,0.4765097222,0.7528195313,0.4320055556,0.7211460938,0.4318097222
64,1,414.646,131.96,454.913,127.579,455.031,159.729,413.944,163.637,0.3239421875,0.8167222222,0.3554007813,0.8228069444,0.3554929688,0.7781541667,0.32339375,0.7727263889
64,2,924.805,120.782,965.92,124.22,967.33,156.665,926.279,153.711,0.7225039063,0.8322472222,0.754625,0.8274722222,0.7557265625,0.7824097222,0.7236554688,0.7865125
64,3,422.888,376.398,462.698,377.171,464.774,408.2,425.473,407.674,0.33038125,0.477225,0.3614828125,0.4761513889,0.3631046875,0.4330555556,0.3324007813,0.4337861111
64,4,923.498,377.528,964.567,377.471,961.821,408.946,921.852,410.137,0.7214828125,0.4756555556,0.7535679688,0.4757347222,0.7514226563,0.4320194444,0.720196875,0.4303652778
65,1,412.501,132.128,453.015,127.681,452.983,159.96,411.834,163.81,0.3222664063,0.8164888889,0.3539179688,0.8226652778,0.3538929688,0.7778333333,0.3217453125,0.7724861111
65,2,923.049,120.7,963.939,124.133,965.676,156.618,924.281,153.592,0.7211320313,0.8323611111,0.7530773438,0.8275930556,0.754434375,0.782475,0.7220945313,0.7866777778
65,3,420.662,376.641,460.317,377.009,462.702,408.441,423.337,407.62,0.3286421875,0.4768875,0.3596226563,0.4763763889,0.3614859375,0.4327208333,0.3307320313,0.4338611111
65,4,921.642,377,962.352,377,959.821,408.962,919.572,409.088,0.7200328125,0.4763888889,0.7518375,0.4763888889,0.7498601563,0.4319972222,0.718415625,0.4318222222
66,1,409.249,131.698,449.07,127.439,448.752,159.761,408.722,163.31,0.3197257813,0.8170861111,0.3508359375,0.8230013889,0.3505875,0.7781097222,0.3193140625,0.7731805556
66,2,919.568,119.653,960.743,123.223,962.211,155.77,920.698,152.516,0.7184125,0.8338152778,0.7505804688,0.8288569444,0.7517273438,0.7836527778,0.7192953125,0.7881722222
66,3,416.369,376.126,455.691,376.057,457.663,407.609,418.995,406.738,0.3252882813,0.4776027778,0.3560085938,0.4776986111,0.3575492188,0.4338763889,0.3273398438,0.4350861111
66,4,917.553,376,958.159,376,955.419,407.908,915.368,408.047,0.7168382813,0.4777777778,0.7485617188,0.4777777778,0.7464210938,0.4334611111,0.71513125,0.4332680556
67,1,402.157,130.537,442.23,126.229,441.878,158.271,401.681,162.154,0.3141851563,0.8186986111,0.3454921875,0.8246819444,0.3452171875,0.7801791667,0.3138132813,0.7747861111
67,2,913.742,118.104,953.677,121.409,954.984,153.935,913.867,150.235,0.7138609375,0.8359666667,0.7450601563,0.8313763889,0.74608125,0.7862013889,0.7139585938,0.7913402778
67,3,408.342,374.818,447.796,375.086,448.96,406.124,411.109,405.627,0.3190171875,0.4794194444,0.349840625,0.4790472222,0.35075,0.4359388889,0.3211789063,0.4366291667
67,4,910.377,374,950.343,374,947.284,405.869,907.39,406.14,0.7112320313,0.4805555556,0.7424554688,0.4805555556,0.740065625,0.4362930556,0.7088984375,0.4359166667
68,1,392.286,129.477,431.28,124.885,431.073,156.812,391.526,160.93,0.3064734375,0.8201708333,0.3369375,0.8265486111,0.3367757813,0.7822055556,0.3058796875,0.7764861111
68,2,904.06,115.867,943.697,119.07,945.118,151.531,903.658,148.413,0.706296875,0.8390736111,0.7372632813,0.834625,0.7383734375,0.7895402778,0.7059828125,0.7938708333
68,3,397.442,373.095,436.191,372.953,437.934,405.188,399.922,403.811,0.3105015625,0.4818125,0.3407742188,0.4820097222,0.3421359375,0.4372388889,0.3124390625,0.4391513889
68,4,900.003,371.436,939.076,371.525,935.659,402.742,896.431,403.89,0.7031273438,0.4841166667,0.733653125,0.4839930556,0.7309835938,0.4406361111,0.7003367188,0.4390416667
69,1,380.048,128.446,418.576,123.507,417.321,155.908,379.891,159.69,0.2969125,0.8216027778,0.3270125,0.8284625,0.3260320313,0.7834611111,0.2967898438,0.7782083333
69,2,891.366,113.335,930.944,116.309,932.352,148.835,892.17,146.28,0.6963796875,0.8425902778,0.7273,0.8384597222,0.7284,0.7932847222,0.6970078125,0.7968333333
69,3,384.794,372,423.204,372,424.96,403.79,387.252,402.948,0.3006203125,0.4833333333,0.330628125,0.4833333333,0.332,0.4391805556,0.302540625,0.44035
69,4,886.727,369.07,926.981,368.827,923.688,400.927,884.34,401.03,0.6927554688,0.4874027778,0.7242039063,0.4877402778,0.72163125,0.4431569444,0.690890625,0.4430138889
70,1,367.659,127.445,405.851,123.208,402.999,154.737,366.007,159.538,0.2872335938,0.8229930556,0.3170710938,0.8288777778,0.3148429688,0.7850875,0.2859429688,0.7784194444
70,2,878.594,110.812,918.635,113.569,919.042,146.121,878.823,143.627,0.6864015625,0.8460944444,0.7176835938,0.8422652778,0.7180015625,0.7970541667,0.6865804688,0.8005180556
70,3,373.337,371.063,410.785,370.985,413.116,402.981,375.888,402.966,0.2916695313,0.4846347222,0.3209257813,0.4847430556,0.322746875,0.4403041667,0.2936625,0.440325
70,4,874.442,366.722,914.632,366.541,911.887,397.762,872.482,399.115,0.6831578125,0.4906638889,0.71455625,0.4909152778,0.7124117188,0.4475527778,0.6816265625,0.4456736111
71,1,357.126,127.562,394.968,122.656,393.725,154.683,356.189,159.406,0.2790046875,0.8228305556,0.30856875,0.8296444444,0.3075976563,0.7851625,0.2782726563,0.7786027778
71,2,866.652,108.935,907.872,111.997,909.609,144.495,867.67,141.708,0.677071875,0.8487013889,0.709275,0.8444486111,0.7106320313,0.7993125,0.6778671875,0.8031833333
71,3,363.326,371.133,401.658,370.967,403.771,402.867,367.017,403.046,0.2838484375,0.4845375,0.3137953125,0.4847680556,0.3154460938,0.4404625,0.2867320313,0.4402138889
71,4,864.477,365.118,905.464,364.73,903.535,396.791,862.412,397.307,0.6753726563,0.4928916667,0.70739375,0.4934305556,0.7058867188,0.4489013889,0.673759375,0.4481847222
72,1,348.402,128.218,386.203,123.216,386.135,155.058,347.469,159.707,0.2721890625,0.8219194444,0.3017210938,0.8288666667,0.3016679688,0.7846416667,0.2714601563,0.7781847222
72,2,857.795,107.525,899.725,110.42,901.092,142.702,859.051,140.527,0.6701523438,0.8506597222,0.7029101563,0.8466388889,0.703978125,0.8018027778,0.6711335938,0.8048236111
72,3,356.296,372.063,394.432,371.307,397.377,403,359.398,403,0.27835625,0.4832458333,0.30815,0.4842958333,0.3104507813,0.4402777778,0.2807796875,0.4402777778
72,4,856.626,363.503,898.121,362.851,896.603,394.703,855.45,396.091,0.6692390625,0.4951347222,0.7016570313,0.4960402778,0.7004710938,0.4518013889,0.6683203125,0.4498736111
73,1,341.632,128.709,380.288,123.429,379.944,155.555,341.344,160.119,0.2669,0.8212375,0.2971,0.8285708333,0.29683125,0.7839513889,0.266675,0.7776125
73,2,851.518,106.212,892.983,109.026,894.376,141.575,851.751,138.456,0.6652484375,0.8524833333,0.6976429688,0.848575,0.69873125,0.8033680556,0.6654304688,0.8077
73,3,350.849,372.094,389.187,371.792,392.304,403,354.089,403,0.2741007813,0.4832027778,0.3040523438,0.4836222222,0.3064875,0.4402777778,0.2766320313,0.4402777778
73,4,850.941,362.325,892.494,361.748,891.032,393.397,849.63,395.028,0.6647976563,0.4967708333,0.6972609375,0.4975722222,0.69611875,0.4536152778,0.6637734375,0.45135
74,1,337.226,128.7,376.114,123.425,375.942,155.599,336.734,159.987,0.2634578125,0.82125,0.2938390625,0.8285763889,0.2937046875,0.7838902778,0.2630734375,0.7777958333
74,2,846.15,105.354,888.037,107.993,889.61,140.222,847.605,138.351,0.6610546875,0.853675,0.6937789063,0.8500097222,0.6950078125,0.8052472222,0.6621914063,0.8078458333
74,3,346.995,373.2,385.253,370.629,388.443,403.093,350.311,402.954,0.2710898438,0.4816666667,0.3009789063,0.4852375,0.3034710938,0.4401486111,0.2736804688,0.4403416667
74,4,846.817,361.324,888.598,360.75,886.965,392.689,845.576,393.896,0.6615757813,0.4981611111,0.6942171875,0.4989583333,0.6929414063,0.4545986111,0.66060625,0.4529222222
75,1,333.882,128.496,372.229,123.323,371.88,155.069,332.76,160.03,0.2608453125,0.8215333333,0.2908039063,0.8287180556,0.29053125,0.7846263889,0.25996875,0.7777361111
75,2,842.372,104.429,884.866,107.217,886.442,139.506,843.475,137.514,0.658103125,0.8549597222,0.6913015625,0.8510875,0.6925328125,0.8062416667,0.6589648438,0.8090083333
75,3,343.936,371.495,382.154,370.76,385.645,403.031,347.19,402.914,0.2687,0.4840347222,0.2985578125,0.4850555556,0.3012851563,0.4402347222,0.2712421875,0.4403972222
75,4,843.433,360.686,885.589,359.661,883.725,391.708,842.512,393.128,0.6589320313,0.4990472222,0.6918664063,0.5004708333,0.6904101563,0.4559611111,0.6582125,0.4539888889
76,1,331.12,128.201,369.986,122.484,369.07,154.747,330.756,159.377,0.2586875,0.8219430556,0.2890515625,0.8298833333,0.2883359375,0.7850736111,0.258403125,0.7786430556
76,2,839.588,103.581,881.823,106.324,883.558,138.567,840.161,136.509,0.655928125,0.8561375,0.6889242188,0.8523277778,0.6902796875,0.8075458333,0.6563757813,0.8104041667
76,3,341.465,371.14,379.605,370.702,382.754,402,344.327,402,0.2667695313,0.4845277778,0.2965664063,0.4851361111,0.2990265625,0.4416666667,0.2690054688,0.4416666667
76,4,840.467,359.878,882.513,358.541,881.322,390.651,839.557,392.247,0.6566148438,0.5001694444,0.6894632813,0.5020263889,0.6885328125,0.4574291667,0.6559039063,0.4552125
77,1,328.061,128.252,367.114,122.408,366.942,154.489,327.884,159.483,0.2562976563,0.8218722222,0.2868078125,0.8299888889,0.2866734375,0.7854319444,0.256159375,0.7784958333
77,2,836.979,102.984,879.575,105.641,880.677,137.836,837.993,135.966,0.6538898438,0.8569666667,0.6871679688,0.8532763889,0.6880289063,0.8085611111,0.6546820313,0.8111583333
77,3,339.322,370.992,377.692,371.008,380.606,401.815,342.507,401.931,0.2650953125,0.4847333333,0.295071875,0.4847111111,0.2973484375,0.4419236111,0.2675835938,0.4417625
77,4,838.232,359.347,880.413,358.027,879.106,390.016,837.493,391.426,0.65486875,0.5009069444,0.6878226563,0.5027402778,0.6868015625,0.4583111111,0.6542914063,0.4563527778
78,1,327.163,128.275,365.725,122.342,365.543,154.46,326.688,159.462,0.2555960938,0.8218402778,0.2857226563,0.8300805556,0.2855804688,0.7854722222,0.255225,0.778525
78,2,834.715,102.434,877.696,105.015,879.055,137.556,836.222,135.195,0.6521210938,0.8577305556,0.6857,0.8541458333,0.6867617188,0.80895,0.6532984375,0.8122291667
78,3,337.986,371.17,376.275,370.6,379.383,402,341.28,402,0.2640515625,0.4844861111,0.2939648438,0.4852777778,0.2963929688,0.4416666667,0.266625,0.4416666667
78,4,837.147,358.612,879.063,357.597,877.672,389.605,835.71,391.199,0.6540210938,0.5019277778,0.6867679688,0.5033375,0.68568125,0.4588819444,0.6528984375,0.4566680556
79,1,326.094,128.354,364.168,122.625,364.008,154.574,325.671,159.548,0.2547609375,0.8217305556,0.28450625,0.8296875,0.28438125,0.7853138889,0.2544304688,0.7784055556
79,2,833.594,102.026,876.597,104.422,877.946,136.97,834.956,134.614,0.6512453125,0.8582972222,0.6848414063,0.8549694444,0.6858953125,0.8097638889,0.652309375,0.8130361111
79,3,337.304,371.027,375.733,370.918,378.614,401.796,340.637,402.004,0.26351875,0.4846847222,0.2935414063,0.4848361111,0.2957921875,0.44195,0.2661226563,0.4416611111
