Frame No.,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
7,2,959.691,144.936,1000.09,148.132,1002.38,180.58,961.931,178.535,0.7497585938,0.7987,0.7813203125,0.7942611111,0.783109375,0.7491944444,0.7515085938,0.7520347222
7,3,464.333,402.813,504.067,403.097,506.722,434.602,466.922,433.535,0.3627601563,0.4405375,0.3938023438,0.4401430556,0.3958765625,0.3963861111,0.3647828125,0.3978680556
7,4,961.64,402.083,1001.21,401.814,999.144,433.308,959.949,434.514,0.75128125,0.4415513889,0.7821953125,0.441925,0.78058125,0.3981833333,0.7499601563,0.3965083333
8,1,453.275,159.198,493.968,154.632,494.272,187.125,454.142,190.399,0.3541210938,0.7788916667,0.3859125,0.7852333333,0.38615,0.7401041667,0.3547984375,0.7355569444
8,2,959.957,145.139,1000.06,148.185,1002.56,180.732,962.248,178.52,0.7499664063,0.7984180556,0.781296875,0.7941875,0.78325,0.7489833333,0.75175625,0.7520555556
8,3,464.586,402.987,504.805,403.064,506.561,434.897,467.357,433.669,0.3629578125,0.4402958333,0.3943789063,0.4401888889,0.3957507813,0.3959763889,0.3651226563,0.3976819444
8,4,962.194,402.157,1001.46,401.829,999.565,433.293,960.064,434.668,0.7517140625,0.4414486111,0.782390625,0.4419041667,0.7809101563,0.3982041667,0.75005,0.3962944444
9,1,454,159.54,494.905,154.844,495.036,187.572,454,190.996,0.3546875,0.7784166667,0.3866445313,0.7849388889,0.386746875,0.7394833333,0.3546875,0.7347277778
9,2,960.267,145.677,1000.65,148.655,1002.66,181.338,962.603,178.512,0.7502085938,0.7976708333,0.7817578125,0.7935347222,0.783328125,0.7481416667,0.7520335938,0.7520666667
9,3,465.014,403.539,504.949,404.2,506.779,435.495,467.275,433.968,0.3632921875,0.4395291667,0.3944914063,0.4386111111,0.3959210938,0.3951458333,0.3650585938,0.3972666667
9,4,962.158,403.185,1001.89,402.291,999.228,433.73,960.235,435.333,0.7516859375,0.4400208333,0.7827265625,0.4412625,0.780646875,0.3975972222,0.7501835938,0.3953708333
10,1,454,160.213,495,155.627,495,188.035,454,191.563,0.3546875,0.7774819444,0.38671875,0.7838513889,0.38671875,0.7388402778,0.3546875,0.7339402778
10,2,960.471,146.356,1000.62,149.35,1002.71,181.496,962.521,179.569,0.7503679688,0.7967277778,0.781734375,0.7925694444,0.7833671875,0.7479222222,0.7519695313,0.7505986111
10,3,465.09,404.088,504.985,405.346,506.906,436.186,467.357,434.98,0.3633515625,0.4387666667,0.3945195313,0.4370194444,0.3960203125,0.3941861111,0.3651226563,0.3958611111
10,4,962.128,404.202,1001.89,402.915,999.114,434.746,960.185,435.629,0.7516625,0.4386083333,0.7827265625,0.4403958333,0.7805578125,0.3961861111,0.7501445313,0.3949597222
11,1,453.999,160.662,494.95,156.41,495.105,189.105,454.062,191.832,0.3546867188,0.7768583333,0.3866796875,0.7827638889,0.3868007813,0.7373541667,0.3547359375,0.7335666667
11,2,960.471,146.967,1000.62,149.938,1002.74,182.239,962.464,180.457,0.7503679688,0.7958791667,0.781734375,0.7917527778,0.783390625,0.7468902778,0.751925,0.7493652778
