FrameNo,Marker,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
8,3,402.225,410.163,448.036,408.953,450.918,444.129,405.639,444.046,0.3142382813,0.4303291667,0.350028125,0.4320097222,0.3522796875,0.3831541667,0.3169054688,0.3832694444
8,4,933.324,394.237,971.243,392.439,968.714,424.095,930.905,427.125,0.729159375,0.4524486111,0.7587835938,0.4549458333,0.7568078125,0.4109791667,0.7272695313,0.4067708333
9,1,392.053,136.514,439,132.378,439,168.412,391.892,172.263,0.3062914063,0.8103972222,0.34296875,0.8161416667,0.34296875,0.7660944444,0.306165625,0.7607458333
9,2,935.35,134.449,973.945,138.482,975.273,171.268,936.342,168.085,0.7307421875,0.8132652778,0.7608945313,0.8076638889,0.7619320313,0.7621277778,0.7315171875,0.7665486111
9,3,402.73,410.338,448.247,409.119,451.143,444.165,405.61,444.092,0.3146328125,0.4300861111,0.3501929688,0.4317791667,0.3524554688,0.3831041667,0.3168828125,0.3832055556
9,4,933.377,394.1,971.576,392.507,968.609,424.103,930.982,427.119,0.7292007813,0.4526388889,0.75904375,0.4548513889,0.7567257813,0.4109680556,0.7273296875,0.4067791667
10,1,392,136.534,439.209,132.429,438.903,168.455,392,172.273,0.30625,0.8103694444,0.3431320313,0.8160708333,0.3428929688,0.7660347222,0.30625,0.7607319444
10,2,935.572,134.621,974.513,138.486,975.508,171.184,937.27,168.049,0.730915625,0.8130263889,0.7613382813,0.8076583333,0.762115625,0.7622444444,0.7322421875,0.7665986111
10,3,402.743,410.088,448.733,409.646,451.325,444.123,406.003,444.003,0.3146429688,0.4304333333,0.3505726563,0.4310472222,0.3525976563,0.3831625,0.3171898438,0.3833291667
10,4,933.324,394.355,971.382,392.483,969.36,424.019,931.375,427.108,0.729159375,0.4522847222,0.7588921875,0.4548847222,0.7573125,0.4110847222,0.7276367188,0.4067944444
11,1,392.146,136.631,439.056,132.378,439.056,168.49,391.968,172.339,0.3063640625,0.8102347222,0.3430125,0.8161416667,0.3430125,0.7659861111,0.306225,0.7606402778
11,2,935.46,134.551,974.513,138.497,975.571,171.457,937.424,168.298,0.730828125,0.8131236111,0.7613382813,0.8076430556,0.7621648438,0.7618652778,0.7323625,0.7662527778
11,3,402.922,410.114,448.821,409.749,451.639,444.124,406.102,444.003,0.3147828125,0.4303972222,0.3506414063,0.4309041667,0.3528429688,0.3831611111,0.3172671875,0.3833291667
11,4,933.502,394.286,971.591,392.536,969.528,424.118,931.393,426.993,0.7292984375,0.4523805556,0.7590554688,0.4548111111,0.75744375,0.4109472222,0.7276507813,0.4069541667
12,1,392.101,136.591,439.168,132.533,438.924,168.419,391.957,172.4,0.3063289063,0.8102902778,0.3431,0.8159263889,0.342909375,0.7660847222,0.3062164063,0.7605555556
12,2,935.604,134.575,974.256,138.377,975.903,171.448,936.938,167.837,0.730940625,0.8130902778,0.7611375,0.8078097222,0.7624242188,0.7618777778,0.7319828125,0.7668930556
12,3,402.672,410.565,448.901,409.773,451.605,444.128,406.222,444.839,0.3145875,0.4297708333,0.3507039063,0.4308708333,0.3528164063,0.3831555556,0.3173609375,0.3821680556
12,4,933.548,394.397,971.832,392.319,969.208,424.381,931.415,426.783,0.729334375,0.4522263889,0.75924375,0.4551125,0.75719375,0.4105819444,0.7276679688,0.4072458333
13,1,392.101,136.656,439.211,132.507,438.83,168.427,391.957,172.4,0.3063289063,0.8102,0.3431335938,0.8159625,0.3428359375,0.7660736111,0.3062164063,0.7605555556
13,2,935.593,134.481,974.243,138.424,975.972,171.359,936.831,167.874,0.7309320313,0.8132208333,0.7611273438,0.8077444444,0.762478125,0.7620013889,0.7318992188,0.7668416667
13,3,402.872,410.115,448.646,409.751,451.541,444.433,406.09,445.109,0.31474375,0.4303958333,0.3505046875,0.4309013889,0.3527664063,0.3827319444,0.3172578125,0.3817930556
13,4,933.55,394.364,971.725,392.305,969.255,424.378,931.415,426.783,0.7293359375,0.4522722222,0.7591601563,0.4551319444,0.7572304688,0.4105861111,0.7276679688,0.4072458333
14,1,392.101,136.632,439.206,132.57,438.833,168.524,391.957,172.297,0.3063289063,0.8102333333,0.3431296875,0.815875,0.3428382813,0.7659388889,0.3062164063,0.7606986111
