FrameNo,Marker,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
37,4,932.997,395.166,971.028,392.931,968.596,424.905,930.487,427.674,0.7289039063,0.4511583333,0.758615625,0.4542625,0.756715625,0.4098541667,0.7269429688,0.4060083333
38,1,392.098,136.648,438.785,132.602,438.503,168.758,391.801,172.421,0.3063265625,0.8102111111,0.3428007813,0.8158305556,0.3425804688,0.7656138889,0.3060945313,0.7605263889
38,2,935.515,135.056,973.825,139.197,975.493,172.278,936.192,168.599,0.7308710938,0.8124222222,0.7608007813,0.8066708333,0.7621039063,0.760725,0.7314,0.7658347222
38,3,402.055,410,447.591,410,450.963,445,405.281,445,0.3141054688,0.4305555556,0.3496804688,0.4305555556,0.3523148438,0.3819444444,0.3166257813,0.3819444444
38,4,932.49,395.674,971.182,392.951,968.461,425.124,930.646,427.553,0.7285078125,0.4504527778,0.7587359375,0.4542347222,0.7566101563,0.40955,0.7270671875,0.4061763889
39,1,392.108,136.829,439.088,132.51,438.911,168.705,391.796,172.485,0.306334375,0.8099597222,0.3430375,0.8159583333,0.3428992188,0.7656875,0.306090625,0.7604375
39,2,935.562,135.242,974.039,139.285,975.483,172.251,936.411,168.699,0.7309078125,0.8121638889,0.7609679688,0.8065486111,0.7620960938,0.7607625,0.7315710938,0.7656958333
39,3,402.087,410,447.776,410,450.825,445,405.362,445,0.3141304688,0.4305555556,0.349825,0.4305555556,0.3522070313,0.3819444444,0.3166890625,0.3819444444
39,4,932.86,395.662,971.372,392.972,968.565,425.15,930.638,427.574,0.728796875,0.4504694444,0.758884375,0.4542055556,0.7566914063,0.4095138889,0.7270609375,0.4061472222
40,1,392.107,136.905,439.093,132.471,438.733,168.72,391.796,172.485,0.3063335938,0.8098541667,0.3430414063,0.8160125,0.3427601563,0.7656666667,0.306090625,0.7604375
40,2,935.413,135.029,973.877,139.373,975.585,171.924,936.6,168.658,0.7307914063,0.8124597222,0.7608414063,0.8064263889,0.7621757813,0.7612166667,0.73171875,0.7657527778
40,3,402.052,410.103,447.764,410.027,450.899,445,405.405,445,0.314103125,0.4304125,0.349815625,0.4305180556,0.3522648438,0.3819444444,0.3167226563,0.3819444444
40,4,933.124,395.321,971.014,393.194,968.659,424.837,930.876,427.805,0.729003125,0.4509430556,0.7586046875,0.4538972222,0.7567648438,0.4099486111,0.727246875,0.4058263889
41,1,392.108,136.764,438.98,132.412,438.465,168.608,391.796,172.41,0.306334375,0.81005,0.342953125,0.8160944444,0.3425507813,0.7658222222,0.306090625,0.7605416667
41,2,935.514,135.026,973.87,139.289,975.462,171.913,936.336,168.636,0.7308703125,0.8124638889,0.7608359375,0.8065430556,0.7620796875,0.7612319444,0.7315125,0.7657833333
41,3,402.303,411.099,447.921,410.033,450.799,444.963,405.203,444.994,0.3142992188,0.4290291667,0.3499382813,0.4305097222,0.3521867188,0.3819958333,0.3165648438,0.3819527778
41,4,932.9,395.539,971.298,392.827,968.413,425.043,930.506,427.397,0.728828125,0.4506402778,0.7588265625,0.4544069444,0.7565726563,0.4096625,0.7269578125,0.4063930556
42,1,392.108,136.783,439.017,132.432,438.537,168.622,391.797,172.39,0.306334375,0.8100236111,0.3429820313,0.8160666667,0.3426070313,0.7658027778,0.3060914063,0.7605694444
42,2,935.477,135.013,973.861,139.31,975.407,171.879,936.402,168.721,0.7308414063,0.8124819444,0.7608289063,0.8065138889,0.7620367188,0.7612791667,0.7315640625,0.7656652778
42,3,402.201,411.048,447.974,409.841,450.784,445.002,405.242,444.954,0.3142195313,0.4291,0.3499796875,0.4307763889,0.352175,0.3819416667,0.3165953125,0.3820083333
42,4,933.13,395.393,971.014,393.117,968.592,424.949,930.755,427.698,0.7290078125,0.4508430556,0.7586046875,0.4540041667,0.7567125,0.4097930556,0.7271523438,0.405975
43,1,392.053,136.621,439.07,132.603,438.424,168.677,391.893,172.208,0.3062914063,0.8102486111,0.3430234375,0.8158291667,0.34251875,0.7657263889,0.3061664063,0.7608222222
43,2,935.71,135.267,974.235,139.538,975.292,172.287,936.275,168.836,0.7310234375,0.8121291667,0.7611210938,0.8061972222,0.761946875,0.7607125,0.7314648438,0.7655055556
43,3,402.248,410.844,447.987,409.575,450.861,445.009,405.349,444.902,0.31425625,0.4293833333,0.3499898438,0.4311458333,0.3522351563,0.3819319444,0.3166789063,0.3820805556
43,4,933.104,395.376,971.208,393.17,968.685,425.177,930.664,427.686,0.7289875,0.4508666667,0.75875625,0.4539305556,0.7567851563,0.4094763889,0.72708125,0.4059916667
44,1,392.458,136.606,439.965,132.28,439.096,168.575,391.831,172.341,0.3066078125,0.8102694444,0.3437226563,0.8162777778,0.34304375,0.7658680556,0.3061179688,0.7606375
44,2,935.914,135.243,974.597,139.495,976.091,172.422,937.279,168.697,0.7311828125,0.8121625,0.7614039063,0.8062569444,0.7625710938,0.760525,0.7322492188,0.7656986111
44,3,402.456,410.241,448.634,409.573,451.2,444.19,405.676,444.288,0.31441875,0.4302208333,0.3504953125,0.4311486111,0.3525,0.3830694444,0.316934375,0.3829333333
44,4,933.322,395.336,971.395,393.24,968.753,424.986,930.924,427.797,0.7291578125,0.4509222222,0.7589023438,0.4538333333,0.7568382813,0.4097416667,0.727284375,0.4058375
45,1,392,136.571,439.109,132.36,438.946,168.576,392,172.229,0.30625,0.8103180556,0.3430539063,0.8161666667,0.3429265625,0.7658666667,0.30625,0.7607930556
45,2,935.516,135.206,974.315,139.486,975.583,172.102,936.799,168.795,0.730871875,0.8122138889,0.7611835938,0.8062694444,0.7621742188,0.7609694444,0.7318742188,0.7655625
45,3,402.321,410.501,448.187,409.295,450.855,444.766,405.448,444.847,0.3143132813,0.4298597222,0.3501460938,0.4315347222,0.3522304688,0.3822694444,0.31675625,0.3821569444
45,4,933.05,395.29,971.172,392.913,968.561,425.066,930.912,427.431,0.7289453125,0.4509861111,0.758728125,0.4542875,0.7566882813,0.4096305556,0.727275,0.4063458333
46,1,392,136.677,439,132.476,439,168.572,392,172.403,0.30625,0.8101708333,0.34296875,0.8160055556,0.34296875,0.7658722222,0.30625,0.7605513889
46,2,935.58,135.159,973.942,139.314,975.313,172.168,936.164,168.657,0.730921875,0.8122791667,0.7608921875,0.8065083333,0.7619632813,0.7608777778,0.731378125,0.7657541667
46,3,402.298,410.658,448.169,409.53,450.845,444.854,405.315,444.848,0.3142953125,0.4296416667,0.3501320313,0.4312083333,0.3522226563,0.3821472222,0.3166523438,0.3821555556
46,4,932.546,395.393,971.184,392.775,968.507,424.933,930.458,427.543,0.7285515625,0.4508430556,0.7587375,0.4544791667,0.7566460938,0.4098152778,0.7269203125,0.4061902778
47,1,392.105,136.721,439.17,132.535,438.431,168.759,391.953,172.344,0.3063320313,0.8101097222,0.3431015625,0.8159236111,0.3425242188,0.7656125,0.3062132813,0.7606333333
47,2,935.575,135.122,973.989,139.197,975.316,172.084,936.283,168.702,0.7309179688,0.8123305556,0.7609289063,0.8066708333,0.761965625,0.7609944444,0.7314710938,0.7656916667
47,3,402.328,410,448.31,410,450.847,444.973,405.518,444.937,0.31431875,0.4305555556,0.3502421875,0.4305555556,0.3522242188,0.3819819444,0.3168109375,0.3820319444
47,4,933.18,395.015,971.433,392.797,968.537,424.88,930.378,427.652,0.729046875,0.4513680556,0.7589320313,0.4544486111,0.7566695313,0.4098888889,0.7268578125,0.4060388889
48,1,392.263,136.781,439.067,132.577,438.877,168.615,391.79,172.474,0.3064554688,0.8100263889,0.3430210938,0.8158652778,0.3428726563,0.7658125,0.3060859375,0.7604527778
48,2,935.706,135.004,974.102,139.193,975.457,171.872,936.271,168.622,0.7310203125,0.8124944444,0.7610171875,0.8066763889,0.7620757813,0.7612888889,0.7314617188,0.7658027778
48,3,402.741,410.776,448.086,410.105,451.343,444.673,405.573,445.038,0.3146414063,0.4294777778,0.3500671875,0.4304097222,0.3526117188,0.3823986111,0.3168539063,0.3818916667
48,4,933.077,395.22,971.587,392.652,968.717,424.693,931.054,427.595,0.7289664063,0.4510833333,0.7590523438,0.45465,0.7568101563,0.4101486111,0.7273859375,0.4061180556
49,1,392,136.982,439.056,132.536,439.056,168.615,392,172.418,0.30625,0.8097472222,0.3430125,0.8159222222,0.3430125,0.7658125,0.30625,0.7605305556
49,2,935.679,135.001,974.044,139.187,975.771,171.898,936.692,168.657,0.7309992188,0.8124986111,0.760971875,0.8066847222,0.7623210938,0.7612527778,0.731790625,0.7657541667
49,3,402.524,410.744,448.522,409.915,451.146,445,405.681,445,0.314471875,0.4295222222,0.3504078125,0.4306736111,0.3524578125,0.3819444444,0.3169382813,0.3819444444
49,4,933.395,395.14,971.405,392.916,968.852,424.785,931.118,427.662,0.7292148438,0.4511944444,0.7589101563,0.4542833333,0.756915625,0.4100208333,0.7274359375,0.406025
50,1,392.057,137.122,438.996,132.606,438.611,168.695,391.887,172.681,0.3062945313,0.8095527778,0.342965625,0.815825,0.3426648438,0.7657013889,0.3061617188,0.7601652778
50,2,935.497,134.833,973.97,139.179,975.346,171.856,936.205,168.568,0.7308570313,0.8127319444,0.7609140625,0.8066958333,0.7619890625,0.7613111111,0.7314101563,0.7658777778
50,3,402.534,411.068,448.019,410.539,451.097,445,405.243,445,0.3144796875,0.4290722222,0.3500148438,0.4298069444,0.3524195313,0.3819444444,0.3165960938,0.3819444444
50,4,933.073,394.896,971.203,392.696,968.484,424.848,930.632,427.512,0.7289632813,0.4515333333,0.7587523438,0.4545888889,0.756628125,0.4099333333,0.72705625,0.4062333333
51,1,392.043,137.113,438.262,132.773,437.957,168.704,391.529,172.761,0.3062835938,0.8095652778,0.3423921875,0.8155930556,0.3421539063,0.7656888889,0.3058820313,0.7600541667
51,2,935.163,134.75,973.59,139.046,974.979,171.518,936.52,168.598,0.7305960938,0.8128472222,0.7606171875,0.8068805556,0.7617023438,0.7617805556,0.73165625,0.7658361111
51,3,402.296,411.013,448.002,410.553,450.808,445,405.248,445,0.31429375,0.4291486111,0.3500015625,0.4297875,0.35219375,0.3819444444,0.3166,0.3819444444
51,4,932.539,395.112,971.033,392.331,968.516,424.794,930.837,427.03,0.7285460938,0.4512333333,0.7586195313,0.4550958333,0.756653125,0.4100083333,0.7272164063,0.4069027778
52,1,392.145,137.201,438.63,132.724,438.332,168.644,391.7,172.818,0.3063632813,0.8094430556,0.3426796875,0.8156611111,0.342446875,0.7657722222,0.306015625,0.759975
52,2,935.29,134.681,973.798,139.215,975.269,171.589,936.327,168.585,0.7306953125,0.8129430556,0.7607796875,0.8066458333,0.7619289063,0.7616819444,0.7315054688,0.7658541667
52,3,402.592,411.131,448.305,409.995,451.207,445,405.419,445,0.314525,0.4289847222,0.3502382813,0.4305625,0.3525054688,0.3819444444,0.3167335938,0.3819444444
52,4,933.2,394.785,971.388,392.836,968.934,424.859,930.93,427.374,0.7290625,0.4516875,0.758896875,0.4543944444,0.7569796875,0.4099180556,0.7272890625,0.406425
53,1,392,137.269,439.108,132.732,438.945,168.837,392,172.838,0.30625,0.8093486111,0.343053125,0.81565,0.3429257813,0.7655041667,0.30625,0.7599472222
53,2,935.646,134.965,974.276,139.086,976.194,171.689,936.8,168.711,0.7309734375,0.8125486111,0.761153125,0.806825,0.7626515625,0.7615430556,0.731875,0.7656791667
53,3,402.778,410.733,448.681,410.175,451.588,445,406.224,445,0.3146703125,0.4295375,0.3505320313,0.4303125,0.352803125,0.3819444444,0.3173625,0.3819444444
53,4,933.667,395.191,971.816,392.712,969.464,424.842,931.162,427.499,0.7294273438,0.4511236111,0.75923125,0.4545666667,0.75739375,0.4099416667,0.7274703125,0.4062513889
54,1,393.015,137.111,439.942,132.634,439.891,168.703,392.122,172.883,0.3070429688,0.8095680556,0.3437046875,0.8157861111,0.3436648438,0.7656902778,0.3063453125,0.7598847222
54,2,935.696,135.007,974.533,139.072,976.301,172.137,937.511,168.393,0.7310125,0.8124902778,0.7613539063,0.8068444444,0.7627351563,0.7609208333,0.7324304688,0.7661208333
54,3,403.001,410.813,448.77,410.088,451.781,445,406.295,445,0.3148445313,0.4294263889,0.3506015625,0.4304333333,0.3529539063,0.3819444444,0.3174179688,0.3819444444
54,4,933.828,394.96,972.023,392.996,969.593,424.939,931.342,427.592,0.729553125,0.4514444444,0.7593929688,0.4541722222,0.7574945313,0.4098069444,0.7276109375,0.4061222222
55,1,393.188,137.049,439.896,132.603,440.049,168.624,392.448,172.753,0.307178125,0.8096541667,0.34366875,0.8158291667,0.3437882813,0.7658,0.3066,0.7600652778
55,2,935.964,135.036,974.774,139.097,976.357,172.195,937.733,168.685,0.731221875,0.81245,0.7615421875,0.8068097222,0.7627789063,0.7608402778,0.7326039063,0.7657152778
55,3,403.103,411.013,449.138,409.874,451.902,445,406.39,445,0.3149242188,0.4291486111,0.3508890625,0.4307305556,0.3530484375,0.3819444444,0.3174921875,0.3819444444
55,4,934.212,395.219,972.176,393.071,969.623,424.866,931.869,427.667,0.729853125,0.4510847222,0.7595125,0.4540680556,0.7575179688,0.4099083333,0.7280226563,0.4060180556
56,1,393.055,137.164,440,132.539,440,168.698,392.895,172.728,0.3070742188,0.8094944444,0.34375,0.8159180556,0.34375,0.7656972222,0.3069492188,0.7601
56,2,936.334,134.909,975.09,139.21,976.35,171.98,937.554,168.625,0.7315109375,0.8126263889,0.7617890625,0.8066527778,0.7627734375,0.7611388889,0.7324640625,0.7657986111
56,3,403.593,410.925,449.462,409.816,452.202,445,406.435,445,0.3153070313,0.4292708333,0.3511421875,0.4308111111,0.3532828125,0.3819444444,0.3175273438,0.3819444444
56,4,934.38,395.199,972.305,392.8,969.934,424.887,931.838,427.568,0.729984375,0.4511125,0.7596132813,0.4544444444,0.7577609375,0.4098791667,0.7279984375,0.4061555556
57,1,393.055,137.101,440,132.672,440,168.683,392.895,172.618,0.3070742188,0.8095819444,0.34375,0.8157333333,0.34375,0.7657180556,0.3069492188,0.7602527778
57,2,936.498,134.944,975.583,139.23,976.338,172,937.83,168.683,0.7316390625,0.8125777778,0.7621742188,0.806625,0.7627640625,0.7611111111,0.7326796875,0.7657180556
57,3,403.605,410.946,449.469,410.272,452.211,444.927,406.622,445.033,0.3153164063,0.4292416667,0.3511476563,0.4301777778,0.3532898438,0.3820458333,0.3176734375,0.3818986111
57,4,934.511,395.273,972.544,392.971,969.922,424.856,932.171,427.686,0.7300867188,0.4510097222,0.7598,0.4542069444,0.7577515625,0.4099222222,0.7282585938,0.4059916667
58,1,393.055,137.14,440,132.768,440,168.758,392.895,172.709,0.3070742188,0.8095277778,0.34375,0.8156,0.34375,0.7656138889,0.3069492188,0.7601263889
58,2,936.614,134.981,975.621,139.255,976.242,171.899,937.695,168.666,0.7317296875,0.8125263889,0.7622039063,0.8065902778,0.7626890625,0.7612513889,0.7325742188,0.7657416667
58,3,403.554,410.918,449.499,409.866,452.343,445,406.952,445,0.3152765625,0.4292805556,0.3511710938,0.4307416667,0.3533929688,0.3819444444,0.31793125,0.3819444444
58,4,934.479,395.275,972.596,392.968,969.935,424.855,932.259,427.679,0.7300617188,0.4510069444,0.759840625,0.4542111111,0.7577617188,0.4099236111,0.7283273438,0.4060013889
59,1,393.101,137.14,440.108,132.696,439.945,168.79,392.96,172.501,0.3071101563,0.8095277778,0.343834375,0.8157,0.3437070313,0.7655694444,0.307,0.7604152778
59,2,936.776,135.019,975.642,139.299,976.703,172.007,938.335,168.574,0.73185625,0.8124736111,0.7622203125,0.8065291667,0.7630492188,0.7611013889,0.7330742188,0.7658694444
59,3,403.945,411.121,449.717,410.036,452.655,445,407.152,445,0.3155820313,0.4289986111,0.3513414063,0.4305055556,0.3536367188,0.3819444444,0.3180875,0.3819444444
59,4,934.553,395.311,972.793,392.965,970.332,424.841,932.54,427.695,0.7301195313,0.4509569444,0.7599945313,0.4542152778,0.758071875,0.4099430556,0.728546875,0.4059791667
60,1,393.995,137.128,440.943,132.611,440.274,168.783,393.844,172.623,0.3078085938,0.8095444444,0.3444867188,0.8158180556,0.3439640625,0.7655791667,0.307690625,0.7602458333
60,2,937.191,135.108,975.618,139.301,977.308,171.894,938.244,168.739,0.7321804688,0.81235,0.7622015625,0.8065263889,0.763521875,0.7612583333,0.733003125,0.7656402778
60,3,404.416,410.915,450.121,410.506,452.893,445,407.519,445,0.31595,0.4292847222,0.3516570313,0.4298527778,0.3538226563,0.3819444444,0.3183742188,0.3819444444
60,4,935.457,395.204,973.27,393.31,970.696,424.864,932.588,427.911,0.7308257813,0.4511055556,0.7603671875,0.4537361111,0.75835625,0.4099111111,0.728584375,0.4056791667
61,1,394.056,137.291,441.078,132.876,440.749,168.9,393.886,172.839,0.30785625,0.8093180556,0.3445921875,0.81545,0.3443351563,0.7654166667,0.3077234375,0.7599458333
61,2,937.444,135.194,975.735,139.357,977.471,172.194,938.605,168.723,0.732378125,0.8122305556,0.7622929688,0.8064486111,0.7636492188,0.7608416667,0.7332851563,0.7656625
61,3,404.417,410.923,450.369,410.767,453.379,445.162,407.511,444.913,0.3159507813,0.4292736111,0.3518507813,0.4294902778,0.3542023438,0.3817194444,0.3183679688,0.3820652778
61,4,935.232,395.259,973.215,393.243,970.81,425.086,932.952,427.629,0.73065,0.4510291667,0.7603242188,0.4538291667,0.7584453125,0.4096027778,0.72886875,0.4060708333
62,1,394.056,137.302,440.97,133,440.919,168.963,393.886,172.971,0.30785625,0.8093027778,0.3445078125,0.8152777778,0.3444679688,0.7653291667,0.3077234375,0.7597625
62,2,937.545,135.234,975.877,139.272,977.336,172.101,938.258,168.78,0.7324570313,0.812175,0.7624039063,0.8065666667,0.76354375,0.7609708333,0.7330140625,0.7655833333
62,3,404.458,411.025,450.292,410.628,453.447,445.163,407.581,444.914,0.3159828125,0.4291319444,0.351790625,0.4296833333,0.3542554688,0.3817180556,0.3184226563,0.3820638889
62,4,935.168,395.407,973.321,393.19,970.898,425.04,933.119,427.714,0.7306,0.4508236111,0.7604070313,0.4539027778,0.7585140625,0.4096666667,0.7289992188,0.4059527778
63,1,394,137.281,441.15,132.956,440.85,169.05,394,172.962,0.3078125,0.8093319444,0.3446484375,0.8153388889,0.3444140625,0.7652083333,0.3078125,0.759775
63,2,937.623,135.128,976.008,139.199,977.388,171.772,938.238,168.669,0.7325179688,0.8123222222,0.76250625,0.8066680556,0.763584375,0.7614277778,0.7329984375,0.7657375
63,3,404.515,410.96,450.448,410.634,453.648,445.234,407.812,444.874,0.3160273438,0.4292222222,0.3519125,0.429675,0.3544125,0.3816194444,0.318603125,0.3821194444
63,4,935.463,395.088,973.423,392.965,971.136,424.954,933.15,427.569,0.7308304688,0.4512666667,0.7604867188,0.4542152778,0.7587,0.4097861111,0.7290234375,0.4061541667
64,1,394.103,137.217,441.098,132.777,440.958,169.252,393.959,172.796,0.3078929688,0.8094208333,0.3446078125,0.8155875,0.3444984375,0.7649277778,0.3077804688,0.7600055556
64,2,937.559,134.811,976.062,139.114,977.935,171.896,938.874,168.567,0.7324679688,0.8127625,0.7625484375,0.8067861111,0.7640117188,0.7612555556,0.7334953125,0.7658791667
64,3,404.673,410.973,450.844,410.589,453.53,445.083,408.09,444.957,0.3161507813,0.4292041667,0.352221875,0.4297375,0.3543203125,0.3818291667,0.3188203125,0.3820041667
64,4,935.603,395.047,973.603,392.832,971.417,424.788,933.387,427.542,0.7309398438,0.4513236111,0.7606273438,0.4544,0.7589195313,0.4100166667,0.7292085938,0.4061916667
65,1,394.056,137.182,441.105,132.761,440.95,168.989,393.886,172.94,0.30785625,0.8094694444,0.3446132813,0.8156097222,0.3444921875,0.7652930556,0.3077234375,0.7598055556
65,2,937.421,134.728,976.021,138.862,977.457,171.672,938.908,168.394,0.7323601563,0.8128777778,0.7625164063,0.8071361111,0.7636382813,0.7615666667,0.733521875,0.7661194444
65,3,404.32,411.211,450.413,410.185,452.929,445,407.546,445,0.315875,0.4288736111,0.3518851563,0.4302986111,0.3538507813,0.3819444444,0.3183953125,0.3819444444
65,4,935.49,394.933,973.485,392.649,970.824,424.749,932.801,427.399,0.7308515625,0.4514819444,0.7605351563,0.4546541667,0.75845625,0.4100708333,0.7287507813,0.4063902778
66,1,393.054,137.265,440.108,132.694,439.945,168.819,392.894,172.946,0.3070734375,0.8093541667,0.343834375,0.8157027778,0.3437070313,0.7655291667,0.3069484375,0.7597972222
66,2,936.815,134.544,975.261,138.49,976.659,171.404,937.839,168.407,0.7318867188,0.8131333333,0.7619226563,0.8076527778,0.7630148438,0.7619388889,0.7326867188,0.7661013889
66,3,403.506,411.066,449.403,410.378,452.257,445.038,406.607,444.916,0.3152390625,0.429075,0.3510960938,0.4300305556,0.3533257813,0.3818916667,0.3176617188,0.3820611111
66,4,934.441,394.386,972.527,392.436,969.989,424.377,932.324,427.04,0.7300320313,0.4522416667,0.7597867188,0.45495,0.7578039063,0.4105875,0.728378125,0.4068888889
67,1,392.054,137.217,439.108,132.66,438.951,168.717,391.899,172.937,0.3062921875,0.8094208333,0.343053125,0.81575,0.3429304688,0.7656708333,0.3061710938,0.7598097222
67,2,935.483,134.12,974.589,138.192,976.073,171.063,937.458,167.868,0.7308460938,0.8137222222,0.7613976563,0.8080666667,0.7625570313,0.7624125,0.7323890625,0.76685
67,3,402.93,411.053,448.765,409.93,451.83,445,406.328,445,0.3147890625,0.4290930556,0.3505976563,0.4306527778,0.3529921875,0.3819444444,0.31744375,0.3819444444
67,4,934.175,394.193,972.096,392.16,969.631,423.948,931.498,426.622,0.7298242188,0.4525097222,0.75945,0.4553333333,0.7575242188,0.4111833333,0.7277328125,0.4074694444
68,1,392.105,137.169,439.108,132.622,438.946,168.625,391.793,172.773,0.3063320313,0.8094875,0.343053125,0.8158027778,0.3429265625,0.7657986111,0.3060882813,0.7600375
68,2,935.659,133.857,974.304,137.886,975.905,170.684,936.645,167.48,0.7309835938,0.8140875,0.761175,0.8084916667,0.7624257813,0.7629388889,0.7317539063,0.7673888889
68,3,403.154,410.766,449.166,409.866,451.931,445,406.424,445,0.3149640625,0.4294916667,0.3509109375,0.4307416667,0.3530710938,0.3819444444,0.31751875,0.3819444444
68,4,934.419,393.604,972.371,391.984,969.622,423.818,931.316,426.291,0.7300148438,0.4533277778,0.7596648438,0.4555777778,0.7575171875,0.4113638889,0.727590625,0.4079291667
69,1,392.055,137.16,439.146,132.591,438.807,168.567,391.899,172.942,0.3062929688,0.8095,0.3430828125,0.8158458333,0.3428179688,0.7658791667,0.3061710938,0.7598027778
69,2,935.69,133.786,974.381,137.775,975.94,170.612,936.739,167.361,0.7310078125,0.8141861111,0.7612351563,0.8086458333,0.762453125,0.7630388889,0.7318273438,0.7675541667
69,3,403.163,410.861,449.399,409.979,451.988,445,406.481,445,0.3149710938,0.4293597222,0.3510929688,0.4305847222,0.353115625,0.3819444444,0.3175632813,0.3819444444
69,4,934.375,393.606,972.313,391.987,969.689,423.736,931.545,426.282,0.7299804688,0.453325,0.7596195313,0.4555736111,0.7575695313,0.4114777778,0.7277695313,0.4079416667
70,1,392.105,137.107,439.109,132.56,438.946,168.579,391.794,172.694,0.3063320313,0.8095736111,0.3430539063,0.8158888889,0.3429265625,0.7658625,0.3060890625,0.7601472222
70,2,935.439,133.68,974.24,137.78,976.014,170.669,937.101,167.161,0.7308117188,0.8143333333,0.761125,0.8086388889,0.7625109375,0.7629597222,0.7321101563,0.7678319444
70,3,403.29,410.834,449.3,409.877,451.907,445,406.37,445,0.3150703125,0.4293972222,0.351015625,0.4307263889,0.3530523438,0.3819444444,0.3174765625,0.3819444444
70,4,934.316,393.753,972.225,391.854,969.654,423.646,931.659,426.332,0.729934375,0.4531208333,0.7595507813,0.4557583333,0.7575421875,0.4116027778,0.7278585938,0.4078722222
71,1,392.398,136.827,438.866,132.542,439.141,168.486,391.667,172.638,0.3065609375,0.8099625,0.3428640625,0.8159138889,0.3430789063,0.7659916667,0.3059898438,0.760225
71,2,935.646,133.66,974.582,137.821,975.923,170.683,937.327,167.198,0.7309734375,0.8143611111,0.7613921875,0.8085819444,0.7624398438,0.7629402778,0.7322867188,0.7677805556
71,3,403.548,411.166,449.481,409.529,452.129,444.948,406.468,445.011,0.315271875,0.4289361111,0.3511570313,0.4312097222,0.3532257813,0.3820166667,0.317553125,0.3819291667
71,4,934.293,393.864,972.26,391.88,969.629,423.706,931.655,426.327,0.7299164063,0.4529666667,0.759578125,0.4557222222,0.7575226563,0.4115194444,0.7278554688,0.4078791667
72,1,392.106,136.995,439.108,132.429,439.108,168.642,391.956,172.43,0.3063328125,0.8097291667,0.343053125,0.8160708333,0.343053125,0.765775,0.306215625,0.7605138889
72,2,935.577,133.778,974.35,137.914,976.173,170.772,937.327,167.367,0.7309195313,0.8141972222,0.7612109375,0.8084527778,0.7626351563,0.7628166667,0.7322867188,0.7675458333
72,3,403.523,410.877,449.542,409.691,452.013,444.901,406.468,445.017,0.3152523438,0.4293375,0.3512046875,0.4309847222,0.3531351563,0.3820819444,0.317553125,0.3819208333
72,4,934.316,393.203,972.188,392.329,969.704,423.817,931.799,426.28,0.729934375,0.4538847222,0.759521875,0.4550986111,0.75758125,0.4113652778,0.7279679688,0.4079444444
73,1,392.106,137.117,439.152,132.427,439.006,168.717,391.956,172.445,0.3063328125,0.8095597222,0.3430875,0.8160736111,0.3429734375,0.7656708333,0.306215625,0.7604930556
73,2,935.735,133.823,974.489,137.854,975.96,170.693,937.357,167.428,0.7310429688,0.8141347222,0.7613195313,0.8085361111,0.76246875,0.7629263889,0.7323101563,0.7674611111
73,3,403.532,410.923,449.428,409.559,452.075,444.963,406.29,444.995,0.315259375,0.4292736111,0.351115625,0.4311680556,0.3531835938,0.3819958333,0.3174140625,0.3819513889
73,4,934.153,393.235,972.147,392.243,969.701,423.501,931.603,426.346,0.7298070313,0.4538402778,0.7594898438,0.4552180556,0.7575789063,0.4118041667,0.7278148438,0.4078527778
74,1,392,137.129,439.109,132.509,438.946,168.598,392,172.599,0.30625,0.8095430556,0.3430539063,0.8159597222,0.3429265625,0.7658361111,0.30625,0.7602791667
74,2,935.551,133.621,974.216,137.801,975.319,170.78,936.521,166.912,0.7308992188,0.8144152778,0.76110625,0.8086097222,0.7619679688,0.7628055556,0.7316570313,0.7681777778
74,3,403.249,411.072,449.406,409.418,451.967,444.898,406.301,445.017,0.3150382813,0.4290666667,0.3510984375,0.4313638889,0.3530992188,0.3820861111,0.3174226563,0.3819208333
74,4,933.771,393.276,972.099,391.941,969.511,423.527,931.406,426.079,0.7295085938,0.4537833333,0.7594523438,0.4556375,0.7574304688,0.4117680556,0.7276609375,0.4082236111
75,1,392,137.014,439.152,132.376,439.006,168.635,392,172.467,0.30625,0.8097027778,0.3430875,0.8161444444,0.3429734375,0.7657847222,0.30625,0.7604625
75,2,935.697,133.556,974.082,137.713,975.443,170.543,936.37,166.904,0.7310132813,0.8145055556,0.7610015625,0.8087319444,0.7620648438,0.7631347222,0.7315390625,0.7681888889
75,3,403.086,410.229,449.134,409.758,451.997,444.145,406.414,445.084,0.3149109375,0.4302375,0.3508859375,0.4308916667,0.3531226563,0.3831319444,0.3175109375,0.3818277778
75,4,933.787,393.405,972.148,391.417,969.579,423.42,931.461,426.082,0.7295210938,0.4536041667,0.759490625,0.4563652778,0.7574835938,0.4119166667,0.7277039063,0.4082194444
76,1,392,137.014,439.131,132.378,439.028,168.578,392,172.547,0.30625,0.8097027778,0.3430710938,0.8161416667,0.342990625,0.7658638889,0.30625,0.7603513889
76,2,935.865,133.571,974.149,137.637,975.681,170.616,936.389,166.904,0.7311445313,0.8144847222,0.7610539063,0.8088375,0.7622507813,0.7630333333,0.7315539063,0.7681888889
76,3,403.208,410.11,449.331,409.758,451.894,444.035,406.498,444.889,0.31500625,0.4304027778,0.3510398438,0.4308916667,0.3530421875,0.3832847222,0.3175765625,0.3820986111
