Frame,,Top Left,,Top Right,,Bottom right,,Bottom Left,,Top Left,,Top Right,,Bottom right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
8,3,391.186,427.846,436.834,426.621,440.299,461.28,395.065,462.245,0.3056140625,0.4057694444,0.3412765625,0.4074708333,0.3439835938,0.3593333333,0.3086445313,0.3579930556
8,4,922.451,405.252,960.291,402.296,958.627,434.275,920.229,437.672,0.7206648438,0.43715,0.7502273438,0.4412555556,0.7489273438,0.3968402778,0.7189289063,0.3921222222
9,1,378,154.325,424.202,149.467,424.064,185.766,378,189.661,0.2953125,0.7856597222,0.3314078125,0.7924069444,0.3313,0.7419916667,0.2953125,0.7365819444
9,2,921.241,144.295,960.242,147.627,961.997,180.549,923.086,178.217,0.7197195313,0.7995902778,0.7501890625,0.7949625,0.7515601563,0.7492375,0.7211609375,0.7524763889
9,3,391.235,428.279,436.887,426.815,440.206,461.865,395.043,462.049,0.3056523438,0.4051680556,0.3413179688,0.4072013889,0.3439109375,0.3585208333,0.3086273438,0.3582652778
9,4,922.487,405.236,960.26,402.4,958.787,434.301,920.25,437.733,0.7206929688,0.4371722222,0.750203125,0.4411111111,0.7490523438,0.3968041667,0.7189453125,0.3920375
10,1,378.052,154.437,424.132,149.484,424.146,185.724,377.901,189.786,0.295353125,0.7855041667,0.331353125,0.7923833333,0.3313640625,0.74205,0.2952351563,0.7364083333
10,2,921.097,144.293,960.15,147.819,962.179,180.691,923.331,178.378,0.7196070313,0.7995930556,0.7501171875,0.7946958333,0.7517023438,0.7490402778,0.7213523438,0.7522527778
10,3,391.59,428.277,436.833,426.775,440.379,461.727,395.111,462.112,0.3059296875,0.4051708333,0.3412757813,0.4072569444,0.3440460938,0.3587125,0.3086804688,0.3581777778
10,4,922.269,405.226,960.395,402.626,958.719,434.591,920.167,437.651,0.7205226563,0.4371861111,0.7503085938,0.4407972222,0.7489992188,0.3964013889,0.7188804688,0.3921513889
11,1,378,154.358,424.162,149.562,424.162,185.739,378,189.901,0.2953125,0.7856138889,0.3313765625,0.792275,0.3313765625,0.7420291667,0.2953125,0.7362486111
11,2,921.133,144.345,959.973,147.805,962.305,180.698,923.355,178.38,0.7196351563,0.7995208333,0.7499789063,0.7947152778,0.7518007813,0.7490305556,0.7213710938,0.75225
11,3,391.69,428.137,436.921,426.778,440.344,461.727,395.078,462.112,0.3060078125,0.4053652778,0.3413445313,0.4072527778,0.34401875,0.3587125,0.3086546875,0.3581777778
11,4,922.565,405.21,960.415,402.674,958.759,434.588,920.245,437.645,0.7207539063,0.4372083333,0.7503242188,0.4407305556,0.7490304688,0.3964055556,0.7189414063,0.3921597222
12,1,378.101,154.364,423.757,149.606,424.773,185.933,377.806,189.896,0.2953914063,0.7856055556,0.3310601563,0.7922138889,0.3318539063,0.7417597222,0.2951609375,0.7362555556
12,2,921.696,144.542,960.386,148.056,962.296,181.276,922.326,177.632,0.720075,0.7992472222,0.7503015625,0.7943666667,0.75179375,0.7482277778,0.7205671875,0.7532888889
12,3,391.527,428.031,437.131,426.888,440.166,461.488,395.211,462.151,0.3058804688,0.4055125,0.3415085938,0.4071,0.3438796875,0.3590444444,0.3087585938,0.3581236111
12,4,922.424,405.469,960.414,402.693,958.763,434.513,920.466,437.836,0.72064375,0.4368486111,0.7503234375,0.4407041667,0.7490335938,0.3965097222,0.7191140625,0.3918944444
