Frame,,Top Left,,Top Right,,Bottom right,,Bottom Left,,Top Left,,Top Right,,Bottom right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
37,4,924.297,404.417,962.543,401.939,960.805,433.557,922.637,437.086,0.7221070313,0.4383097222,0.7519867188,0.4417513889,0.7506289063,0.3978375,0.7208101563,0.3929361111
38,1,380.057,153.621,426.461,148.805,426.272,184.958,379.896,189.37,0.2969195313,0.7866375,0.3331726563,0.7933263889,0.333025,0.7431138889,0.29679375,0.7369861111
38,3,393.146,427.145,438.896,426.671,442.041,460.927,397.006,461.171,0.3071453125,0.4067430556,0.3428875,0.4074013889,0.3453445313,0.3598236111,0.3101609375,0.3594847222
38,4,924.401,404.363,962.473,401.895,960.304,433.62,922.303,437.047,0.7221882813,0.4383847222,0.7519320313,0.4418125,0.7502375,0.39775,0.7205492188,0.3929902778
39,1,378.923,153.776,425.95,148.846,426.104,184.923,379.549,189.451,0.2960335938,0.7864222222,0.3327734375,0.7932694444,0.33289375,0.7431625,0.2965226563,0.7368736111
39,2,922.878,143.756,961.745,147.136,963.5,180.05,924.29,177.626,0.7209984375,0.8003388889,0.7513632813,0.7956444444,0.752734375,0.7499305556,0.7221015625,0.7532972222
39,3,392.932,427.233,438.314,426.842,441.816,460.961,396.619,461.218,0.306978125,0.4066208333,0.3424328125,0.4071638889,0.34516875,0.3597763889,0.3098585938,0.3594194444
39,4,924.291,404.33,962.193,402,960.01,433.687,921.988,437.14,0.7221023438,0.4384305556,0.7517132813,0.4416666667,0.7500078125,0.3976569444,0.720303125,0.3928611111
40,1,379,153.727,426,149.099,426,185.035,379,189.529,0.29609375,0.7864902778,0.3328125,0.7929180556,0.3328125,0.7430069444,0.29609375,0.7367652778
40,2,922.553,143.727,961.719,147.133,963.182,180.046,924.362,177.664,0.7207445313,0.8003791667,0.7513429688,0.7956486111,0.7524859375,0.7499361111,0.7221578125,0.7532444444
40,3,392.55,427.165,438.326,426.742,441.264,460.961,396.137,461.222,0.3066796875,0.4067152778,0.3424421875,0.4073027778,0.3447375,0.3597763889,0.3094820313,0.3594138889
40,4,923.469,404.36,961.944,401.984,959.757,433.717,921.649,437.157,0.7214601563,0.4383888889,0.75151875,0.4416888889,0.7498101563,0.3976152778,0.7200382813,0.3928375
41,1,379.039,153.73,425.01,149.116,425.163,185.284,378.738,189.568,0.2961242188,0.7864861111,0.3320390625,0.7928944444,0.3321585938,0.7426611111,0.2958890625,0.7367111111
41,2,922.154,143.864,960.884,147.159,962.895,180.078,923.779,177.751,0.7204328125,0.8001888889,0.750690625,0.7956125,0.7522617188,0.7498916667,0.7217023438,0.7531236111
41,3,391.966,427.141,437.65,426.811,440.924,460.962,395.546,461.698,0.3062234375,0.4067486111,0.3419140625,0.4072069444,0.344471875,0.359775,0.3090203125,0.3587527778
41,4,923.268,404.323,961.119,402.25,959.573,433.703,921.239,437.315,0.721303125,0.4384402778,0.7508742188,0.4413194444,0.7496664063,0.3976347222,0.7197179688,0.3926180556
42,1,378.201,153.818,423.983,149.263,425.122,185.391,377.752,189.554,0.2954695313,0.7863638889,0.3312367188,0.7926902778,0.3321265625,0.7425125,0.29511875,0.7367305556
42,2,921.838,143.949,960.742,147.182,962.407,179.952,923.282,177.724,0.7201859375,0.8000708333,0.7505796875,0.7955805556,0.7518804688,0.7500666667,0.7213140625,0.7531611111
42,3,391.473,427.278,437.396,426.68,440.315,460.836,395.277,461.75,0.3058382813,0.4065583333,0.341715625,0.4073888889,0.3439960938,0.35995,0.3088101563,0.3586805556
42,4,922.492,404.55,960.929,402.13,958.821,433.814,920.998,437.295,0.720696875,0.438125,0.7507257813,0.4414861111,0.7490789063,0.3974805556,0.7195296875,0.3926458333
43,1,378.052,153.503,424.054,149.328,424.054,185.165,377.898,189.563,0.295353125,0.7868013889,0.3312921875,0.7926,0.3312921875,0.7428263889,0.2952328125,0.7367180556
43,2,921.486,143.859,960.292,147.273,962.214,180.128,922.703,177.808,0.7199109375,0.8001958333,0.750228125,0.7954541667,0.7517296875,0.7498222222,0.7208617188,0.7530444444
43,3,391.226,427.023,436.477,426.79,440.23,460.971,394.592,461.261,0.3056453125,0.4069125,0.3409976563,0.4072361111,0.3439296875,0.3597625,0.308275,0.3593597222
43,4,922.274,404.725,960.479,402.095,958.745,433.631,920.186,437.502,0.7205265625,0.4378819444,0.7503742188,0.4415347222,0.7490195313,0.3977347222,0.7188953125,0.3923583333
44,1,377.302,153.794,424.193,148.622,423.906,185.102,377.293,189.441,0.2947671875,0.7863972222,0.3314007813,0.7935805556,0.3311765625,0.7429138889,0.2947601563,0.7368875
44,2,921.351,144.098,959.849,147.284,962.02,180.404,922.322,177.752,0.7198054688,0.7998638889,0.7498820313,0.7954388889,0.751578125,0.7494388889,0.7205640625,0.7531222222
44,3,390.794,427.077,436.474,426.835,439.857,461.043,394.406,461.044,0.3053078125,0.4068375,0.3409953125,0.4071736111,0.3436382813,0.3596625,0.3081296875,0.3596611111
44,4,921.806,404.607,960.262,402.349,958.242,433.854,920.008,437.492,0.7201609375,0.4380458333,0.7502046875,0.4411819444,0.7486265625,0.397425,0.71875625,0.3923722222
45,1,376.864,153.551,423.958,148.759,424.094,184.703,377.391,189.391,0.294425,0.7867347222,0.3312171875,0.7933902778,0.3313234375,0.7434680556,0.2948367188,0.7369569444
45,2,921.255,143.933,959.883,147.462,961.941,180.487,922.348,177.713,0.7197304688,0.8000930556,0.7499085938,0.7951916667,0.7515164063,0.7493236111,0.720584375,0.7531763889
45,3,390.805,427.175,436.524,426.603,439.796,460.96,394.411,461.086,0.3053164063,0.4067013889,0.341034375,0.4074958333,0.343590625,0.3597777778,0.3081335938,0.3596027778
45,4,921.839,404.766,960.177,402.283,958.313,433.951,919.741,437.45,0.7201867188,0.437825,0.7501382813,0.4412736111,0.7486820313,0.3972902778,0.7185476563,0.3924305556
46,1,377.148,153.652,424.107,148.511,423.944,184.838,377.236,189.326,0.294646875,0.7865944444,0.3313335938,0.7937347222,0.33120625,0.7432805556,0.294715625,0.7370472222
46,2,921.263,144.177,959.906,147.404,961.846,180.379,922.352,177.819,0.7197367188,0.7997541667,0.7499265625,0.7952722222,0.7514421875,0.7494736111,0.7205875,0.7530291667
46,3,390.75,426.967,436.613,426.903,439.534,460.932,394.434,461.163,0.3052734375,0.4069902778,0.3411039063,0.4070791667,0.3433859375,0.3598166667,0.3081515625,0.3594958333
46,4,921.508,404.86,960.253,402.341,957.893,434.062,919.878,437.469,0.719928125,0.4376944444,0.7501976563,0.4411930556,0.7483539063,0.3971361111,0.7186546875,0.3924041667
47,1,377.018,153.618,424.105,148.678,423.951,184.864,377.142,189.351,0.2945453125,0.7866416667,0.3313320313,0.7935027778,0.3312117188,0.7432444444,0.2946421875,0.7370125
47,2,921.099,144.273,959.906,147.546,961.562,180.591,922.27,178.008,0.7196085938,0.7996208333,0.7499265625,0.795075,0.7512203125,0.7491791667,0.7205234375,0.7527666667
47,3,390.656,426.99,436.4,426.879,439.728,461.083,394.253,460.957,0.3052,0.4069583333,0.3409375,0.4071125,0.3435375,0.3596069444,0.3080101563,0.3597819444
47,4,921.458,405.047,960.153,402.31,957.735,434.17,919.707,437.572,0.7198890625,0.4374347222,0.7501195313,0.4412361111,0.7482304688,0.3969861111,0.7185210938,0.3922611111
48,1,377.339,153.595,424.054,148.933,424.054,185.006,377.678,189.36,0.2947960938,0.7866736111,0.3312921875,0.7931486111,0.3312921875,0.7430472222,0.2950609375,0.737
48,2,920.998,144.386,959.961,147.574,961.561,180.571,922.429,178.218,0.7195296875,0.7994638889,0.7499695313,0.7950361111,0.7512195313,0.7492069444,0.7206476563,0.752475
48,3,390.834,427.145,436.642,426.676,439.736,461.083,394.481,460.958,0.3053390625,0.4067430556,0.3411265625,0.4073944444,0.34354375,0.3596069444,0.3081882813,0.3597805556
48,4,921.66,405.198,960.34,402.347,957.846,434.374,919.862,437.597,0.720046875,0.437225,0.750265625,0.4411847222,0.7483171875,0.3967027778,0.7186421875,0.3922263889
49,1,378.056,153.8,424.289,148.648,424.397,184.943,377.896,189.32,0.29535625,0.7863888889,0.3314757813,0.7935444444,0.3315601563,0.7431347222,0.29523125,0.7370555556
49,2,921.41,144.508,960.324,147.61,962.239,180.47,922.66,178.316,0.7198515625,0.7992944444,0.750253125,0.7949861111,0.7517492188,0.7493472222,0.720828125,0.7523388889
49,3,391.372,427.077,437.074,426.828,440.387,460.924,395.152,461.347,0.305759375,0.4068375,0.3414640625,0.4071833333,0.3440523438,0.3598277778,0.3087125,0.3592402778
49,4,922.42,405.096,960.562,402.505,958.387,434.318,920.126,437.672,0.720640625,0.4373666667,0.7504390625,0.4409652778,0.7487398438,0.3967805556,0.7188484375,0.3921222222
50,1,378.701,153.506,425,149.035,425,185.064,378.548,189.363,0.2958601563,0.7867972222,0.33203125,0.7930069444,0.33203125,0.7429666667,0.295740625,0.7369958333
50,2,921.816,144.394,960.804,147.902,962.438,180.703,923.325,178.27,0.72016875,0.7994527778,0.750628125,0.7945805556,0.7519046875,0.7490236111,0.7213476563,0.7524027778
50,3,391.731,427.118,437.603,426.914,440.57,461.082,395.446,460.957,0.3060398438,0.4067805556,0.3418773438,0.4070638889,0.3441953125,0.3596083333,0.3089421875,0.3597819444
50,4,922.495,405.384,960.879,402.589,958.803,434.495,920.765,437.72,0.7206992188,0.4369666667,0.7506867188,0.4408486111,0.7490648438,0.3965347222,0.7193476563,0.3920555556
51,1,378.993,153.837,425,149.107,425,185.333,378.741,189.488,0.2960882813,0.7863375,0.33203125,0.7929069444,0.33203125,0.7425930556,0.2958914063,0.7368222222
51,2,921.845,144.425,960.909,148.038,962.467,180.867,923.418,178.464,0.7201914063,0.7994097222,0.7507101563,0.7943916667,0.7519273438,0.7487958333,0.7214203125,0.7521333333
51,3,391.622,427.188,437.57,426.925,440.668,461.064,395.59,461.254,0.3059546875,0.4066833333,0.3418515625,0.4070486111,0.344271875,0.3596333333,0.3090546875,0.3593694444
51,4,922.62,405.276,960.781,402.545,958.909,434.338,920.71,437.748,0.720796875,0.4371166667,0.7506101563,0.4409097222,0.7491476563,0.3967527778,0.7193046875,0.3920166667
52,1,378.249,154.162,424.854,149.159,425.208,185.585,378.304,189.455,0.2955070313,0.7858861111,0.3319171875,0.7928347222,0.33219375,0.7422430556,0.29555,0.7368680556
52,2,921.344,144.485,960.645,147.46,962.403,180.435,923.499,178.38,0.7198,0.7993263889,0.7505039063,0.7951944444,0.7518773438,0.7493958333,0.7214835938,0.75225
52,3,391.786,427.269,437.629,426.845,440.719,461.108,395.505,461.346,0.3060828125,0.4065708333,0.3418976563,0.4071597222,0.3443117188,0.3595722222,0.3089882813,0.3592416667
52,4,922.454,405.212,961.067,402.101,958.918,434.048,920.994,437.579,0.7206671875,0.4372055556,0.7508335938,0.4415263889,0.7491546875,0.3971555556,0.7195265625,0.3922513889
53,1,378.532,154.042,425.012,149.27,425.153,185.658,378.578,189.531,0.295728125,0.7860527778,0.332040625,0.7926805556,0.3321507813,0.7421416667,0.2957640625,0.7367625
53,2,921.9,144.274,960.766,147.484,962.545,180.349,923.36,177.934,0.720234375,0.7996194444,0.7505984375,0.7951611111,0.7519882813,0.7495152778,0.721375,0.7528694444
53,3,392.13,427.636,437.666,426.667,441.247,461.035,396.068,462.091,0.3063515625,0.4060611111,0.3419265625,0.4074069444,0.3447242188,0.3596736111,0.309428125,0.3582069444
53,4,923.245,404.9,961.294,402.185,959.603,433.937,921.329,437.648,0.7212851563,0.4376388889,0.7510109375,0.4414097222,0.7496898438,0.3973097222,0.7197882813,0.3921555556
54,1,379,154.178,425.883,149.218,426.012,185.565,379,189.757,0.29609375,0.7858638889,0.3327210938,0.7927527778,0.332821875,0.7422708333,0.29609375,0.7364486111
54,2,922.052,144.272,961.201,147.408,963.146,180.489,924.066,177.875,0.720353125,0.7996222222,0.7509382813,0.7952666667,0.7524578125,0.7493208333,0.7219265625,0.7529513889
54,3,393.416,427.514,438.234,426.773,441.512,461.382,395.858,462.078,0.30735625,0.4062305556,0.3423703125,0.4072597222,0.34493125,0.3591916667,0.3092640625,0.358225
54,4,923.379,405.16,961.923,402.281,959.67,434.052,921.694,437.65,0.7213898438,0.4372777778,0.7515023438,0.4412763889,0.7497421875,0.39715,0.7200734375,0.3921527778
55,1,379,154.249,426,149.577,426,185.699,379,189.792,0.29609375,0.7857652778,0.3328125,0.7922541667,0.3328125,0.7420847222,0.29609375,0.7364
55,2,922.129,144.421,961.422,147.602,963.294,180.62,924.369,178.455,0.7204132813,0.7994152778,0.7511109375,0.7949972222,0.7525734375,0.7491388889,0.7221632813,0.7521458333
55,3,392.809,428.121,438.387,426.629,441.895,461.91,396.478,462.005,0.3068820313,0.4053875,0.3424898438,0.4074597222,0.3452304688,0.3584583333,0.3097484375,0.3583263889
55,4,923.648,405.254,962.132,402.319,959.808,434.507,921.927,437.623,0.7216,0.4371472222,0.751665625,0.4412236111,0.74985,0.3965180556,0.7202554688,0.3921902778
56,1,378.955,154.184,426.056,149.546,426.056,185.726,379.097,189.837,0.2960585938,0.7858555556,0.33285625,0.7922972222,0.33285625,0.7420472222,0.2961695313,0.7363375
56,2,922.692,144.422,961.797,147.573,963.381,180.688,924.271,178.175,0.720853125,0.7994138889,0.7514039063,0.7950375,0.7526414063,0.7490444444,0.7220867188,0.7525347222
56,3,393.061,427.585,438.82,426.792,441.965,461.738,396.911,462.105,0.3070789063,0.4061319444,0.342828125,0.4072333333,0.3452851563,0.3586972222,0.3100867188,0.3581875
56,4,924.133,404.752,962.438,402.506,960.356,434.179,921.837,437.631,0.7219789063,0.4378444444,0.7519046875,0.4409638889,0.750278125,0.3969736111,0.7201851563,0.3921791667
57,1,380.055,154.019,426.011,149.489,426.6,185.538,379.895,189.632,0.2969179688,0.7860847222,0.3328210938,0.7923763889,0.33328125,0.7423083333,0.2967929688,0.7366222222
57,2,923.525,144.247,962.199,147.433,964.216,180.592,924.533,177.887,0.7215039063,0.7996569444,0.7517179688,0.7952319444,0.75329375,0.7491777778,0.7222914063,0.7529347222
57,3,393.489,427.563,439.45,426.67,442.51,461.131,397.384,462.071,0.3074132813,0.4061625,0.3433203125,0.4074027778,0.3457109375,0.3595402778,0.31045625,0.3582347222
57,4,924.324,404.978,962.575,402.345,960.828,433.968,922.679,437.566,0.722128125,0.4375305556,0.7520117188,0.4411875,0.750646875,0.3972666667,0.7208429688,0.3922694444
58,1,380.018,154.068,427.081,149.255,426.805,185.542,379.984,189.751,0.2968890625,0.7860166667,0.3336570313,0.7927013889,0.3334414063,0.7423027778,0.2968625,0.7364569444
58,2,923.575,144.166,962.643,147.511,964.303,180.421,925.203,177.882,0.7215429688,0.7997694444,0.7520648438,0.7951236111,0.7533617188,0.7494152778,0.7228148438,0.7529416667
58,3,393.842,427.498,439.506,426.67,442.683,461.238,397.604,461.274,0.3076890625,0.4062527778,0.3433640625,0.4074027778,0.3458460938,0.3593916667,0.310628125,0.3593416667
58,4,924.406,404.898,963.103,402.336,960.997,433.98,923.035,437.423,0.7221921875,0.4376416667,0.7524242188,0.4412,0.7507789063,0.39725,0.7211210938,0.3924680556
59,1,380.047,153.969,426.928,149.2,427.075,185.483,380.597,189.55,0.2969117188,0.7861541667,0.3335375,0.7927777778,0.3336523438,0.7423847222,0.2973414063,0.7367361111
59,2,923.497,144.08,962.786,147.34,964.359,180.232,925.552,177.8,0.7214820313,0.7998888889,0.7521765625,0.7953611111,0.7534054688,0.7496777778,0.7230875,0.7530555556
59,3,394.011,427.152,439.567,426.8,443.201,461.156,397.73,461.098,0.3078210938,0.4067333333,0.3434117188,0.4072222222,0.3462507813,0.3595055556,0.3107265625,0.3595861111
59,4,924.366,405.107,963.263,401.928,961.081,433.762,923.18,437.432,0.7221609375,0.4373513889,0.7525492188,0.4417666667,0.7508445313,0.3975527778,0.721234375,0.3924555556
60,1,381.058,153.781,427.687,148.585,427.843,185.114,380.889,189.243,0.2977015625,0.7864152778,0.3341304688,0.7936319444,0.3342523438,0.7428972222,0.2975695313,0.7371625
60,2,923.752,143.873,962.971,147.224,964.636,180.159,925.686,177.546,0.72168125,0.8001763889,0.7523210938,0.7955222222,0.753621875,0.7497791667,0.7231921875,0.7534083333
60,3,394.314,427.069,440.198,426.695,443.382,460.964,398.17,461.084,0.3080578125,0.4068486111,0.3439046875,0.4073680556,0.3463921875,0.3597722222,0.3110703125,0.3596055556
60,4,925.212,404.474,963.399,401.704,961.619,433.592,923.361,437.041,0.722821875,0.4382305556,0.7526554688,0.4420777778,0.7512648438,0.3977888889,0.7213757813,0.3929986111
61,1,381,153.533,428,148.489,428,184.761,381,189.206,0.29765625,0.7867597222,0.334375,0.7937652778,0.334375,0.7433875,0.29765625,0.7372138889
61,2,924.066,143.639,963.007,146.965,965.111,179.926,926.173,177.343,0.7219265625,0.8005013889,0.7523492188,0.7958819444,0.7539929688,0.7501027778,0.7235726563,0.7536902778
61,3,394.527,426.905,440.379,426.471,443.871,461,398.46,461,0.3082242188,0.4070763889,0.3440460938,0.4076791667,0.3467742188,0.3597222222,0.311296875,0.3597222222
61,4,925.637,404.273,963.686,401.503,961.644,433.494,923.41,436.607,0.7231539063,0.4385097222,0.7528796875,0.4423569444,0.751284375,0.397925,0.7214140625,0.3936013889
62,1,381,153.533,428,148.489,428,184.777,381,189.19,0.29765625,0.7867597222,0.334375,0.7937652778,0.334375,0.7433652778,0.29765625,0.7372361111
62,2,924.159,143.517,963.072,146.875,965.154,179.834,926.11,177.036,0.7219992188,0.8006708333,0.7524,0.7960069444,0.7540265625,0.7502305556,0.7235234375,0.7541166667
62,3,394.615,427.097,440.343,426.304,443.714,461,398.367,461,0.3082929688,0.4068097222,0.3440179688,0.4079111111,0.3466515625,0.3597222222,0.3112242188,0.3597222222
62,4,925.359,403.64,963.686,401.794,961.624,433.139,923.451,436.585,0.7229367188,0.4393888889,0.7528796875,0.4419527778,0.75126875,0.3984180556,0.7214460938,0.3936319444
63,1,381.054,153.429,427.873,148.537,427.968,184.752,380.893,189.178,0.2976984375,0.7869041667,0.3342757813,0.7936986111,0.33435,0.7434,0.2975726563,0.7372527778
63,2,923.898,143.406,962.79,146.5,964.789,179.548,925.595,176.86,0.7217953125,0.800825,0.7521796875,0.7965277778,0.7537414063,0.7506277778,0.7231210938,0.7543611111
63,3,394.396,427.011,440.34,426.427,443.552,461,398.377,461,0.308121875,0.4069291667,0.344015625,0.4077402778,0.346525,0.3597222222,0.3112320313,0.3597222222
63,4,925.174,403.835,963.56,401.139,961.561,432.927,923.392,436.505,0.7227921875,0.4391180556,0.75278125,0.4428625,0.7512195313,0.3987125,0.7214,0.3937430556
64,1,380.694,153.502,426.872,148.744,427.308,184.774,380.97,189.254,0.2974171875,0.7868027778,0.33349375,0.7934111111,0.333834375,0.7433694444,0.2976328125,0.7371472222
64,2,923.6,143.326,962.595,146.315,964.515,179.566,925.346,176.649,0.7215625,0.8009361111,0.7520273438,0.7967847222,0.7535273438,0.7506027778,0.7229265625,0.7546541667
64,3,394.519,427.251,439.913,426.401,443.53,460.961,398.117,461.087,0.3082179688,0.4065958333,0.3436820313,0.4077763889,0.3465078125,0.3597763889,0.3110289063,0.3596013889
64,4,924.858,403.682,963.435,400.964,961.488,432.787,923.186,436.454,0.7225453125,0.4393305556,0.7526835938,0.4431055556,0.7511625,0.3989069444,0.7212390625,0.3938138889
65,1,379.932,153.557,426.957,148.728,427.104,185.047,380.169,189.319,0.296821875,0.7867263889,0.3335601563,0.7934333333,0.333675,0.7429902778,0.2970070313,0.7370569444
65,2,923.451,143.043,962.559,146.304,964.38,179.33,925.242,176.624,0.7214460938,0.8013291667,0.7519992188,0.7968,0.753421875,0.7509305556,0.7228453125,0.7546888889
65,3,394.236,427.184,439.738,426.275,443.366,461,398.061,461,0.307996875,0.4066888889,0.3435453125,0.4079513889,0.3463796875,0.3597222222,0.3109851563,0.3597222222
65,4,924.836,403.407,963.252,400.973,961.198,432.812,923.083,436.307,0.722528125,0.4397125,0.752540625,0.4430930556,0.7509359375,0.3988722222,0.7211585938,0.3940180556
66,1,380,153.577,427,148.771,427,184.84,380,189.34,0.296875,0.7866986111,0.33359375,0.7933736111,0.33359375,0.7432777778,0.296875,0.7370277778
66,2,923.417,142.942,962.155,146.387,964.438,179.535,924.57,176.687,0.7214195313,0.8014694444,0.7516835938,0.7966847222,0.7534671875,0.7506458333,0.7223203125,0.7546013889
66,3,394,427.04,439.667,426.78,443.074,460.962,397.9,461.087,0.3078125,0.4068888889,0.3434898438,0.40725,0.3461515625,0.359775,0.310859375,0.3596013889
66,4,924.437,403.433,963.218,400.975,960.912,432.818,923.083,436.382,0.7222164063,0.4396763889,0.7525140625,0.4430902778,0.7507125,0.3988638889,0.7211585938,0.3939138889
67,1,380.106,153.465,426.832,148.75,426.745,185.052,379.953,189.281,0.2969578125,0.7868541667,0.3334625,0.7934027778,0.3333945313,0.7429833333,0.2968382813,0.7371097222
67,2,923.539,143.023,962.101,146.355,964.325,179.475,924.453,176.669,0.7215148438,0.8013569444,0.7516414063,0.7967291667,0.7533789063,0.7507291667,0.7222289063,0.7546263889
67,3,394.041,426.92,439.626,426.614,442.926,460.962,397.849,461.087,0.3078445313,0.4070555556,0.3434578125,0.4074805556,0.3460359375,0.359775,0.3108195313,0.3596013889
67,4,924.438,403.468,963.141,401.102,960.92,432.817,922.909,436.398,0.7222171875,0.4396277778,0.7524539063,0.4429138889,0.75071875,0.3988652778,0.7210226563,0.3938916667
68,1,380,153.471,427.109,148.6,426.946,184.721,380,189.27,0.296875,0.7868458333,0.3336789063,0.7936111111,0.3335515625,0.7434430556,0.296875,0.737125
68,2,923.287,143.195,962.244,146.365,964.405,179.574,924.892,176.65,0.7213179688,0.8011180556,0.751753125,0.7967152778,0.7534414063,0.7505916667,0.722571875,0.7546527778
68,3,394.04,427.062,438.749,426.246,443.536,461,397.795,461,0.30784375,0.4068583333,0.3427726563,0.4079916667,0.3465125,0.3597222222,0.3107773438,0.3597222222
68,4,924.441,403.557,963.07,401.063,960.934,432.816,923.016,436.388,0.7222195313,0.4395041667,0.7523984375,0.4429680556,0.7507296875,0.3988666667,0.72110625,0.3939055556
69,1,380,153.274,427.109,148.541,426.946,184.681,380,189.051,0.296875,0.7871194444,0.3336789063,0.7936930556,0.3335515625,0.7434986111,0.296875,0.7374291667
69,2,923.408,143.045,962.301,146.438,964.286,179.513,925.161,176.669,0.7214125,0.8013263889,0.7517976563,0.7966138889,0.7533484375,0.7506763889,0.7227820313,0.7546263889
69,3,394.047,427.123,439.608,426.462,443.067,460.827,397.801,461.053,0.3078492188,0.4067736111,0.34344375,0.4076916667,0.3461460938,0.3599625,0.3107820313,0.3596486111
69,4,924.378,403.996,963.202,400.808,960.821,432.879,922.942,436.409,0.7221703125,0.4388944444,0.7525015625,0.4433222222,0.7506414063,0.3987791667,0.7210484375,0.3938763889
70,1,379.869,153.19,426.559,148.541,427.014,184.629,380.625,188.61,0.2967726563,0.7872361111,0.3332492188,0.7936930556,0.3336046875,0.7435708333,0.2973632813,0.7380416667
70,2,923.343,143.2,962.363,146.375,964.402,179.583,925.243,176.718,0.7213617188,0.8011111111,0.7518460938,0.7967013889,0.7534390625,0.7505791667,0.7228460938,0.7545583333
70,3,394.22,427.184,439.829,426.258,442.664,460.616,397.615,461.105,0.307984375,0.4066888889,0.3436164063,0.407975,0.34583125,0.3602555556,0.3106367188,0.3595763889
70,4,924.379,403.606,963.157,401.063,960.72,432.862,923.012,436.379,0.7221710938,0.4394361111,0.7524664063,0.4429680556,0.7505625,0.3988027778,0.721103125,0.3939180556
71,1,380,152.992,426.908,148.409,427.207,184.45,380,188.642,0.296875,0.7875111111,0.333521875,0.7938763889,0.3337554688,0.7438194444,0.296875,0.7379972222
71,2,923.46,143.209,962.578,146.392,964.357,179.585,925.244,176.661,0.721453125,0.8010986111,0.7520140625,0.7966777778,0.7534039063,0.7505763889,0.722846875,0.7546375
71,3,394.079,426.729,439.601,425.558,442.828,459.864,397.535,461.11,0.3078742188,0.4073208333,0.3434382813,0.4089472222,0.345959375,0.3613,0.3105742188,0.3595694444
71,4,924.301,403.917,962.931,400.936,960.897,432.798,923.007,436.534,0.7221101563,0.4390041667,0.7522898438,0.4431444444,0.7507007813,0.3988916667,0.7210992188,0.3937027778
72,1,380.244,153.047,426.736,148.497,426.696,184.634,379.989,188.429,0.297065625,0.7874347222,0.3333875,0.7937541667,0.33335625,0.7435638889,0.2968664063,0.7382930556
72,2,923.522,143.157,962.626,146.569,964.273,179.652,925.302,176.742,0.7215015625,0.8011708333,0.7520515625,0.7964319444,0.7533382813,0.7504833333,0.7228921875,0.754525
72,3,393.88,426.426,439.562,425.654,442.88,460.488,397.677,461.179,0.30771875,0.4077416667,0.3434078125,0.4088138889,0.346,0.3604333333,0.3106851563,0.3594736111
72,4,924.349,403.883,962.917,401.315,960.809,432.997,923.107,436.471,0.7221476563,0.4390513889,0.7522789063,0.4426180556,0.7506320313,0.3986152778,0.7211773438,0.3937902778
73,1,380.08,153.075,426.597,148.46,427.202,184.539,380.194,188.471,0.2969375,0.7873958333,0.3332789063,0.7938055556,0.3337515625,0.7436958333,0.2970265625,0.7382347222
73,2,923.682,143.425,962.487,146.653,964.412,179.635,925.003,177.092,0.7216265625,0.8007986111,0.7519429688,0.7963152778,0.753446875,0.7505069444,0.7226585938,0.7540388889
73,3,394.03,426.965,439.617,425.404,442.834,460.269,397.647,461.219,0.3078359375,0.4069930556,0.3434507813,0.4091611111,0.3459640625,0.3607375,0.3106617188,0.3594180556
73,4,924.382,404.228,963.133,401.214,960.896,433.154,922.744,436.622,0.7221734375,0.4385722222,0.7524476563,0.4427583333,0.7507,0.3983972222,0.72089375,0.3935805556
74,1,380.101,153.086,427.108,148.264,427.108,184.605,380.389,188.65,0.2969539063,0.7873805556,0.333678125,0.7940777778,0.333678125,0.7436041667,0.2971789063,0.7379861111
74,2,923.746,143.395,962.753,146.889,964.554,179.746,925.344,177.028,0.7216765625,0.8008402778,0.7521507813,0.7959875,0.7535578125,0.7503527778,0.722925,0.7541277778
74,3,393.924,427.006,439.973,425.708,442.341,460.361,397.69,461.124,0.307753125,0.4069361111,0.3437289063,0.4087388889,0.3455789063,0.3606097222,0.3106953125,0.35955
74,4,924.288,404.504,963.248,401.249,960.823,433.294,922.998,436.671,0.7221,0.4381888889,0.7525375,0.4427097222,0.7506429688,0.3982027778,0.7210921875,0.3935125
75,1,380.048,152.981,427.153,148.207,427.006,184.514,380.116,188.609,0.2969125,0.7875263889,0.3337132813,0.7941569444,0.3335984375,0.7437305556,0.296965625,0.7380430556
75,2,923.558,143.379,962.631,146.867,964.432,179.727,925.343,177.283,0.7215296875,0.8008625,0.7520554688,0.7960180556,0.7534625,0.7503791667,0.7229242188,0.7537736111
75,3,393.906,426.826,439.56,425.508,442.611,460.171,397.411,461.199,0.3077390625,0.4071861111,0.34340625,0.4090166667,0.3457898438,0.3608736111,0.3104773438,0.3594458333
75,4,924.399,404.337,963.005,401.246,960.758,433.348,922.658,436.703,0.7221867188,0.4384208333,0.7523476563,0.4427138889,0.7505921875,0.3981277778,0.7208265625,0.3934680556
76,1,380.06,152.944,426.995,148.423,426.959,184.636,380.051,188.459,0.296921875,0.7875777778,0.3335898438,0.7938569444,0.3335617188,0.7435611111,0.2969148438,0.7382513889
76,2,923.558,143.413,962.767,147.216,964.249,179.807,925.476,177.656,0.7215296875,0.8008152778,0.7521617188,0.7955333333,0.7533195313,0.7502680556,0.723028125,0.7532555556
76,3,393.718,427.083,439.512,425.706,442.666,461,397.376,461,0.3075921875,0.4068291667,0.34336875,0.4087416667,0.3458328125,0.3597222222,0.31045,0.3597222222
