timestamp	index	confidence	norm_pos_x	norm_pos_y	base_data	gaze_point_3d_x	gaze_point_3d_y	gaze_point_3d_z	eye_center0_3d_x	eye_center0_3d_y	eye_center0_3d_z	gaze_normal0_x	gaze_normal0_y	gaze_normal0_z	eye_center1_3d_x	eye_center1_3d_y	eye_center1_3d_z	gaze_normal1_x	gaze_normal1_y	gaze_normal1_z
4317.748151	16	1	0.563813636	0.599150767	4317.753837262826-0 4317.742464920146-1	10.12275254	-14.3650984	135.0846817	21.21524791	9.541636089	-22.59112987	-0.069243076	-0.147832804	0.986585454	-39.91620857	13.64174031	-15.92077896	0.309642508	-0.175099786	0.934591666
4317.75415	16	1	0.563585286	0.599761774	4317.753837262826-0 4317.754463500131-1	10.09661911	-14.47119017	135.3733461	21.21524791	9.541636089	-22.59112987	-0.069243076	-0.147832804	0.986585454	-39.91620857	13.64174031	-15.92077896	0.308912184	-0.175834979	0.93469531
4317.760214	16	1	0.563553918	0.600602483	4317.76596353545-0 4317.754463500131-1	10.08988286	-14.57421122	135.3629756	21.21524791	9.541636089	-22.59112987	-0.069335761	-0.149101076	0.986388068	-39.91620857	13.64174031	-15.92077896	0.308912184	-0.175834979	0.93469531
4317.764321	16	1	0.563575001	0.60064281	4317.76596353545-0 4317.76267929888-1	10.09174404	-14.57544591	135.3277732	21.21524791	9.541636089	-22.59112987	-0.069335761	-0.149101076	0.986388068	-39.91620857	13.64174031	-15.92077896	0.30898162	-0.175917508	0.934656829
4317.770238	17	1	0.563693259	0.600173649	4317.76596353545-0 4317.774511848247-1	10.10617414	-14.50288021	135.1916378	21.21524791	9.541636089	-22.59112987	-0.069335761	-0.149101076	0.986388068	-39.91620857	13.64174031	-15.92077896	0.309356743	-0.175298918	0.934648969
4317.774164	17	1	0.563672914	0.601228703	4317.773815274334-0 4317.774511848247-1	10.10289509	-14.63369137	135.1939868	21.21524791	9.541636089	-22.59112987	-0.069412679	-0.150681156	0.98614252	-39.91620857	13.64174031	-15.92077896	0.309356743	-0.175298918	0.934648969
4317.780179	17	1	0.563719554	0.601843987	4317.7858452492-0 4317.774511848247-1	10.11690008	-14.71526428	135.2430404	21.21524791	9.541636089	-22.59112987	-0.069335979	-0.151569048	0.986011839	-39.91620857	13.64174031	-15.92077896	0.309356743	-0.175298918	0.934648969
4317.786218	17	1	0.563559391	0.602241155	4317.7858452492-0 4317.786589821056-1	10.09872794	-14.78667109	135.4485451	21.21524791	9.541636089	-22.59112987	-0.069335979	-0.151569048	0.986011839	-39.91620857	13.64174031	-15.92077896	0.308843862	-0.175766912	0.934730689
4317.79227	17	1	0.563849394	0.603179876	4317.797950692529-0 4317.786589821056-1	10.17992189	-14.93157036	135.7032883	21.21524791	9.541636089	-22.59112987	-0.068763787	-0.152799371	0.985862005	-39.91620857	13.64174031	-15.92077896	0.308843862	-0.175766912	0.934730689
4317.798251	17	1	0.563622186	0.604538653	4317.797950692529-0 4317.798551572431-1	10.14952504	-15.12497818	135.9259621	21.21524791	9.541636089	-22.59112987	-0.068763787	-0.152799371	0.985862005	-39.91620857	13.64174031	-15.92077896	0.308132319	-0.177669521	0.934605807
